idx;ones;2opt;3opt
1;1;1.0014;1.0012
2;1;1.005;1.0014
3;1;1.0144;1.0039
4;1;1.0146;1.0041
5;1;1.0158;1.0043
6;1;1.0163;1.0052
7;1;1.0191;1.0064
8;1;1.0192;1.0072
9;1;1.0193;1.01
10;1;1.0212;1.011
11;1;1.0224;1.0122
12;1;1.0232;1.0126
13;1;1.0237;1.0129
14;1;1.0253;1.0133
15;1;1.0254;1.0135
16;1;1.0273;1.0139
17;1;1.028;1.0164
18;1;1.0282;1.0177
19;1;1.0319;1.0179
20;1;1.0319;1.0188
21;1;1.0327;1.019
22;1;1.0328;1.0202
23;1;1.033;1.0205
24;1;1.0351;1.0207
25;1;1.0358;1.0212
26;1;1.0372;1.0213
27;1;1.0376;1.0215
28;1;1.0379;1.0233
29;1;1.038;1.0233
30;1;1.0389;1.0249
31;1;1.0392;1.0249
32;1;1.0402;1.0253
33;1;1.0427;1.026
34;1;1.043;1.0261
35;1;1.0433;1.0264
36;1;1.0434;1.0267
37;1;1.0435;1.0267
38;1;1.0445;1.0268
39;1;1.0473;1.0275
40;1;1.048;1.0277
41;1;1.0485;1.0279
42;1;1.0495;1.0282
43;1;1.0507;1.0291
44;1;1.0512;1.0293
45;1;1.052;1.0311
46;1;1.0526;1.0329
47;1;1.0526;1.0337
48;1;1.0528;1.0353
49;1;1.0529;1.0353
50;1;1.0532;1.0358
51;1;1.0535;1.0361
52;1;1.0535;1.0362
53;1;1.0538;1.0371
54;1;1.0539;1.0372
55;1;1.055;1.0375
56;1;1.0552;1.0386
57;1;1.0557;1.0391
58;1;1.0588;1.0396
59;1;1.0592;1.0406
60;1;1.0605;1.0407
61;1;1.061;1.0409
62;1;1.0618;1.041
63;1;1.0633;1.0445
64;1;1.0635;1.0454
65;1;1.0645;1.0458
66;1;1.0656;1.046
67;1;1.0716;1.0464
68;1;1.0726;1.0507
69;1;1.0801;1.0625
70;1;1.0806;1.0763
