cores;nn100;nn500;nn1000;nn5000;nn10000;2opt100;2opt500;2opt1000;2opt5000;2opt10000
1;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
2;2.00;2.00;2.00;2.00;2.00;0.38;1.31;1.61;1.91;1.94
3;2.97;2.99;2.99;3.00;3.00;0.35;1.47;2.25;2.86;2.88
4;3.91;3.99;3.99;4.00;4.00;0.29;1.53;2.84;3.80;3.85
5;4.91;4.97;4.99;5.00;5.00;0.30;1.65;3.26;4.73;4.84
6;5.90;5.97;5.99;6.00;6.00;0.48;1.85;3.67;5.66;5.78
7;6.90;6.97;6.99;7.00;7.00;0.50;1.77;3.90;6.54;6.76
8;7.90;7.97;7.99;8.00;8.00;0.49;1.80;4.12;7.20;7.64
9;8.64;8.42;8.29;8.20;8.20;0.42;1.62;3.72;7.42;7.82
10;9.47;8.85;8.65;8.40;8.39;0.42;1.44;3.54;7.54;7.99
11;10.24;9.25;8.99;8.60;8.59;0.46;1.37;3.25;7.71;8.13
12;11.03;9.65;9.33;8.80;8.78;0.50;1.26;3.18;7.78;8.29
13;11.81;10.09;9.65;9.00;8.97;0.54;1.22;3.08;7.88;8.45
14;12.52;10.38;10.00;9.20;9.17;0.42;1.21;2.97;8.02;8.61
15;13.30;11.01;10.33;9.41;9.36;0.41;1.25;2.86;8.11;8.76
16;14.08;11.36;10.66;9.61;9.56;0.38;1.19;2.82;8.19;8.88
