idx;hardfix_cost;localbranch_cost;hardfix_iter;localbranch_iter
0;1;1;2.2793;1
1;1;1;2.4787;1
2;1;1;2.6;1
3;1;1;2.7528;1
4;1;1;2.8134;1
5;1;1;3.12;1
6;1;1;3.4991;1
7;1;1;3.5228;1
8;1;1;4.4475;1
9;1;1;4.7016;1
10;1;1;4.8692;1
11;1;1;4.8805;1
12;1;1;4.882;1
13;1;1;5.1909;1
14;1;1;5.2533;1
15;1;1;5.5847;1
16;1;1;5.7148;1
17;1;1;5.8818;1
18;1;1;6.1165;1
19;1;1;6.3665;1
20;1;1;6.5318;1
21;1;1;6.9641;1
22;1;1;7.5598;1
23;1;1;7.5942;1
24;1;1;7.6695;1
25;1;1;7.925;1
26;1;1;8.0698;1
27;1;1;8.249;1
28;1;1;8.8864;1
29;1;1;9.0502;1
30;1;1;9.7939;1
31;1;1;10.0239;1
32;1;1;10.257;1
33;1;1;10.4127;1
34;1;1;10.5265;1
35;1;1;10.7563;1
36;1;1.0007;10.7617;1
37;1;1.0007;10.8437;1
38;1;1.0008;11.0072;1
39;1;1.001;11.2065;1
40;1;1.0014;11.299;1
41;1.0001;1.0027;11.4056;1
42;1.0002;1.0038;11.8857;1
43;1.0003;1.0051;12.2944;1
44;1.0003;1.0062;12.6977;1
45;1.0007;1.0088;13.208;1
46;1.0009;1.0099;13.6561;1
47;1.0009;1.0105;14.0268;1
48;1.001;1.0112;14.2588;1
49;1.0015;1.0116;15.3321;1
50;1.0017;1.012;15.4473;1
51;1.0021;1.0122;18.9034;1
52;1.0021;1.0126;20.4934;1
53;1.0022;1.0135;21.0246;1
54;1.0022;1.0141;21.7301;1
55;1.0027;1.0146;22.1213;1
56;1.0027;1.0154;23.447;1
57;1.0029;1.0166;24.7502;1
58;1.0034;1.0185;27.669;1
59;1.0039;1.0217;27.9389;1
60;1.0047;1.023;31.4802;1
61;1.0048;1.0262;34.2006;1
62;1.0054;1.0285;34.8173;1
63;1.0061;1.0315;35.4214;1
64;1.008;1.0326;38.1757;1
65;1.0094;1.0355;46.652;1
66;1.0129;1.0416;53.2453;1
67;1.0142;1.0529;56.4342;1
