idx;vns_5-10;tabu_1;annealing_idx;annealing_std6;genetic_idx;genetic
0;1;1;0;1;0;1.0171
1;1;1;1;1;1;1.0329
2;1;1;2;1;2;1.0519
3;1;1;3;1;3;1.0765
4;1;1;4;1;4;1.0985
5;1;1;5;1;5;1.1049
6;1;1;6;1;6;1.2632
7;1;1;7;1;7;1.3999
8;1;1;8;1;8;1.4244
9;1;1;9;1.0001;9;1.4329
10;1;1;10;1.0002;10;1.4405
11;1;1;11;1.0003;11;1.4591
12;1;1;12;1.0003;12;1.4945
13;1;1;13;1.0008;13;1.552
14;1;1;14;1.0009;14;1.6382
15;1;1;15;1.0016;15;1.7595
16;1;1;16;1.0017;16;1.8807
17;1;1;17;1.002;17;1.9201
18;1;1.0001;18;1.0037;18;2.0403
19;1;1.0006;19;1.0038;19;2.3706
20;1;1.0008;20;1.004;20;2.4425
21;1;1.0009;21;1.0058;21;2.642
22;1;1.0015;22;1.0067;22;2.7014
23;1;1.0016;23;1.0067;23;2.7884
24;1;1.0018;24;1.0073;24;3.132
25;1;1.002;25;1.0085;25;3.1655
26;1;1.0023;26;1.0085;26;3.2382
27;1;1.0024;27;1.0105;27;3.5489
28;1;1.0026;28;1.0105;28;3.9621
29;1;1.0032;29;1.0114;29;3.9865
30;1;1.0034;30;1.0116;30;4.0793
31;1;1.0036;31;1.0117;31;4.7255
32;1;1.0062;32;1.0132;32;5.0957
33;1;1.0067;33;1.0146;33;5.7837
34;1;1.0068;34;1.0169;34;6.2401
35;1;1.0069;35;1.0185;35;6.2913
36;1;1.0071;36;1.0196;36;6.5489
37;1;1.0075;37;1.0203;37;6.8173
38;1;1.0077;38;1.0207;38;7.056
39;1;1.0078;39;1.0217;39;7.1986
40;1;1.0079;40;1.0271;40;8.0986
41;1;1.0079;41;1.0273;41;9.0991
42;1;1.0082;42;1.0281;42;16.8824
43;1;1.0085;43;1.0284;;
44;1;1.0088;44;1.0286;;
45;1;1.0094;45;1.0288;;
46;1;1.0099;46;1.0289;;
47;1;1.0105;47;1.0294;;
48;1;1.0117;48;1.0303;;
49;1;1.0123;49;1.0315;;
50;1;1.0125;50;1.0316;;
51;1;1.0126;51;1.0324;;
52;1;1.0129;52;1.0325;;
53;1;1.013;53;1.0329;;
54;1;1.0131;54;1.033;;
55;1;1.0133;55;1.0331;;
56;1;1.0137;56;1.0352;;
57;1;1.0138;57;1.0367;;
58;1;1.014;58;1.0383;;
59;1;1.0141;59;1.039;;
60;1;1.0141;60;1.0396;;
61;1;1.0143;61;1.0405;;
62;1;1.0149;62;1.047;;
63;1;1.0154;63;1.0476;;
64;1;1.0154;64;1.0486;;
65;1;1.0155;65;1.0492;;
66;1;1.0164;66;1.0494;;
67;1;1.0167;67;1.0497;;
68;1;1.0182;68;1.0511;;
69;1;1.019;69;1.052;;
70;1;1.0201;;;;
71;1;1.0203;;;;
72;1;1.0208;;;;
73;1;1.0209;;;;
74;1;1.0212;;;;
