idx;n;cmp_best;cmp_0.03;cmp_0.01;cmp_0.001;bestParam
0;48;1;1;1;1;0.03
1;51;1;1;1;1;0.03
2;52;1;1;1;1;0.02
3;70;1;1;1;1;0.01
4;76;1;1;1;1;0.01
5;76;1;1.0014;1;1;0.1
6;99;1;1.0015;1;1;0.005
7;100;1;1.0021;1;1;0.01
8;100;1;1.0025;1;1;0.01
9;100;1;1.0027;1;1;0.005
10;100;1;1.0032;1;1;0.005
11;100;1;1.0033;1;1;0.005
12;100;1;1.0035;1;1;0.01
13;101;1;1.0043;1;1;0.02
14;105;1;1.0045;1;1;0.02
15;107;1;1.0045;1;1.0002;0.01
16;124;1;1.0047;1.0004;1.0002;0.005
17;127;1;1.0056;1.0008;1.0003;0.005
18;130;1;1.0058;1.001;1.0007;0.005
19;136;1;1.0063;1.0014;1.0007;0.02
20;144;1;1.0068;1.0021;1.0007;0.01
21;150;1;1.0094;1.0022;1.0007;0.01
22;150;1;1.0097;1.0023;1.001;0.005
23;150;1;1.0116;1.0033;1.001;0.01
24;152;1;1.0122;1.0035;1.0011;0.005
25;159;1;1.0172;1.0038;1.0012;0.02
26;195;1;1.0172;1.0039;1.0012;0.001
27;198;1;1.0182;1.004;1.0013;0.01
28;200;1;1.0188;1.0042;1.0013;0.005
29;200;1;1.0188;1.0046;1.0013;0.01
30;225;1;1.0194;1.0052;1.0014;0.001
31;225;1;1.0255;1.0055;1.0014;0.005
32;226;1;1.0256;1.0061;1.0016;0.01
33;262;1;1.0351;1.0061;1.0016;0.001
34;264;1;1.0382;1.0088;1.0021;0.005
35;280;1;1.0411;1.0101;1.0021;0.001
36;299;1;1.0414;1.0104;1.0022;0.001
37;318;1.0001;1.0468;1.0106;1.0023;0.001
38;400;1.0002;1.0534;1.0121;1.0023;0.001
39;417;1.0003;1.056;1.0122;1.0025;0.001
40;439;1.0003;1.0633;1.0124;1.0027;0.001
41;442;1.0007;1.0698;1.0135;1.003;0.001
42;493;1.0008;1.0739;1.0138;1.0032;0.001
43;532;1.0009;1.075;1.0138;1.0033;0.01
44;574;1.0012;1.0854;1.0157;1.0035;0.001
45;575;1.0013;1.1017;1.0159;1.0036;0.001
46;654;1.0015;1.1213;1.017;1.0037;0.001
47;657;1.0016;1.148;1.0184;1.0038;0.001
48;724;1.0016;1.1724;1.0213;1.0043;0.001
49;783;1.0016;1.2744;1.0224;1.0044;0.001
50;1000;1.0016;1.2773;1.0226;1.0049;0.001
51;1002;1.0017;1.2834;1.0239;1.005;0.001
52;1060;1.0017;1.3238;1.0315;1.0058;0.001
53;1084;1.0017;1.334;1.0406;1.006;0.001
54;1173;1.0018;1.3573;1.0439;1.0061;0.001
55;1291;1.0025;1.4148;1.0484;1.0064;0.001
56;1304;1.0026;1.4372;1.0486;1.0066;0.001
57;1323;1.0034;1.4926;1.0559;1.0067;0.001
58;1379;1.0034;1.5024;1.0569;1.0075;0.001
59;1400;1.0034;1.548;1.0624;1.0084;0.001
60;1432;1.0035;1.5505;1.071;1.0085;0.001
61;1577;1.0045;1.5957;1.0725;1.009;0.001
62;1655;1.0049;1.6804;1.0726;1.0092;0.001
63;1748;1.0065;1.7575;1.0809;1.0101;0.001
64;1817;1.0083;1.7749;1.0869;1.0111;0.001
65;1889;1.0089;1.7874;1.0923;1.012;0.001
66;2103;1.0091;1.8379;1.1156;1.0148;0.001
67;2152;1.0093;1.8978;1.1355;1.0161;0.001
68;2319;1.0098;2.2978;1.1806;1.0181;0.001
69;2392;1.0112;2.9333;1.2585;1.019;0.001
