idx;cost_50_10_10_5;cost_50_20_20_5;cost_100_50_20_20;cost_100_20_50_20;cost_100_40_40_10;iter_50_10_10_5;iter_50_20_20_5;iter_100_50_20_20;iter_100_20_50_20;iter_100_40_40_10;finalcost;optimalcost
0;1.0000;1.3529;1.0174;1.1817;1.0799;4.9039;2.5846;1.0000;1.3326;1.0264;1.0171;1.0000
1;1.0000;1.3860;1.0538;1.1958;1.0955;4.9812;2.6029;1.0000;1.3518;1.0297;1.0329;1.0000
2;1.0000;1.4050;1.1056;1.2023;1.1290;5.0400;2.6329;1.0000;1.3656;1.0918;1.0519;1.0000
3;1.0000;1.4237;1.1452;1.2056;1.1882;5.0482;2.6485;1.0000;1.3727;1.1047;1.0765;1.0000
4;1.0000;1.4354;1.1590;1.2241;1.1991;5.0539;2.6613;1.0000;1.3851;1.1094;1.0985;1.0000
5;1.0000;1.4727;1.1668;1.2328;1.2205;5.0562;2.6674;1.0000;1.4084;1.1129;1.1049;1.0000
6;1.0000;1.4842;1.1923;1.2399;1.2303;5.0574;2.6883;1.0000;1.4236;1.1167;1.2639;1.0000
7;1.0000;1.5031;1.2006;1.2619;1.2326;5.0919;2.7133;1.0000;1.4473;1.1261;1.3999;1.0000
8;1.0000;1.5039;1.2039;1.3047;1.2577;5.1098;2.7161;1.0000;1.4495;1.1332;1.4244;1.0000
9;1.0000;1.5444;1.2442;1.3295;1.2648;5.1194;2.7180;1.0000;1.4560;1.1416;1.4329;1.0000
10;1.0000;1.6045;1.2503;1.3362;1.2708;5.1323;2.7207;1.0000;1.4681;1.1433;1.4405;1.0000
11;1.0000;1.6361;1.2607;1.3571;1.2813;5.1477;2.7259;1.0000;1.5072;1.1445;1.4591;1.0000
12;1.0000;1.6381;1.2785;1.3641;1.3055;5.1553;2.7372;1.0000;1.5191;1.1500;1.4945;1.0000
13;1.0000;1.6493;1.2826;1.3706;1.3109;5.1559;2.7455;1.0000;1.5433;1.1535;1.5520;1.0000
14;1.0000;1.6790;1.2866;1.3873;1.3314;5.1564;2.7567;1.0000;1.5438;1.1624;1.6382;1.0000
15;1.0000;1.7480;1.2899;1.3928;1.3430;5.1581;2.7623;1.0000;1.5455;1.1679;1.7595;1.0000
16;1.0000;1.7501;1.3135;1.4420;1.3939;5.1690;2.7666;1.0000;1.5547;1.1688;1.8807;1.0000
17;1.0000;1.7528;1.3189;1.4577;1.4082;5.2176;2.7868;1.0000;1.5669;1.1689;1.9201;1.0000
18;1.0000;1.7835;1.3366;1.5488;1.4172;5.2204;2.7900;1.0000;1.5869;1.1703;2.0404;1.0000
19;1.0000;1.9036;1.3457;1.5534;1.4412;5.2281;2.7936;1.0000;1.5990;1.1790;2.3706;1.0000
20;1.0000;1.9046;1.3512;1.5787;1.4746;5.2327;2.8013;1.0000;1.6075;1.1982;2.4425;1.0000
21;1.0000;1.9316;1.3518;1.5802;1.4822;5.2483;2.8210;1.0000;1.6327;1.2027;2.6420;1.0000
22;1.0000;1.9828;1.3974;1.6282;1.4845;5.2492;2.8312;1.0000;1.6683;1.2057;2.7014;1.0000
23;1.0000;1.9975;1.4038;1.6324;1.5053;5.2551;2.8423;1.0000;1.6727;1.2062;2.7884;1.0000
24;1.0000;2.0191;1.4041;1.6474;1.5378;5.2682;2.8624;1.0000;1.7255;1.2158;3.1320;1.0000
25;1.0000;2.0931;1.4186;1.6761;1.5466;5.2696;2.8625;1.0000;1.7282;1.2160;3.1655;1.0000
26;1.0000;2.1986;1.4426;1.6776;1.5547;5.2945;2.8764;1.0000;1.7350;1.2186;3.2484;1.0000
27;1.0000;2.2718;1.4727;1.7039;1.5914;5.3630;2.8780;1.0000;1.7408;1.2198;3.5503;1.0000
28;1.0000;2.2923;1.5027;1.7101;1.5943;5.3641;2.8882;1.0000;1.7584;1.2246;3.9633;1.0000
29;1.0000;2.3045;1.5059;1.7245;1.6418;5.3954;2.8905;1.0000;1.7599;1.2290;3.9904;1.0000
30;1.0000;2.3082;1.5343;1.7367;1.6453;5.4001;2.8976;1.0000;1.8383;1.2304;4.0793;1.0000
31;1.0000;2.3750;1.5455;1.7387;1.6479;5.4005;2.9134;1.0000;1.8488;1.2308;4.7304;1.0000
32;1.0000;2.3994;1.5620;1.7659;1.6690;5.4155;2.9562;1.0000;1.8587;1.2314;5.0957;1.0000
33;1.0000;2.4279;1.5623;1.8123;1.6696;5.4155;3.0007;1.0000;1.8652;1.2358;5.7844;1.0000
34;1.0000;2.4425;1.5769;1.8684;1.7028;5.4546;3.0198;1.0000;1.8685;1.2362;6.2401;1.0000
35;1.0000;2.4901;1.6078;1.9024;1.7086;5.4802;3.0248;1.0000;1.8884;1.2392;6.3031;1.0000
36;1.0000;2.5043;1.6104;1.9041;1.7087;5.4804;3.0344;1.0000;1.9404;1.2395;6.5489;1.0000
37;1.0000;2.5060;1.6109;1.9193;1.7188;5.5007;3.0453;1.0000;1.9453;1.2432;6.8232;1.0000
38;1.0000;2.5430;1.6345;1.9494;1.7770;5.5115;3.1063;1.0000;2.0463;1.2481;7.1098;1.0000
39;1.0000;2.6012;1.6414;1.9524;1.7811;5.7261;3.1613;1.0000;2.0506;1.2492;7.2297;1.0000
40;1.0000;2.6190;1.6705;1.9570;1.8544;5.7299;3.2348;1.0000;2.0609;1.2540;8.1618;1.0000
41;1.0000;2.6248;1.7023;2.0273;1.9124;5.7393;3.2400;1.0000;2.0802;1.2566;9.1104;1.0000
42;1.0000;2.7217;1.8061;2.0380;2.0531;6.0916;3.3039;1.0000;2.1161;1.2625;16.8999;1.0000
