idx;startcost;finalcost;optimalcost
0;1.0031;1.0000;1.0000
1;1.0050;1.0000;1.0000
2;1.0117;1.0000;1.0000
3;1.0146;1.0000;1.0000
4;1.0192;1.0000;1.0000
5;1.0192;1.0000;1.0000
6;1.0193;1.0000;1.0000
7;1.0207;1.0000;1.0000
8;1.0224;1.0000;1.0000
9;1.0232;1.0000;1.0000
10;1.0236;1.0000;1.0000
11;1.0237;1.0000;1.0000
12;1.0254;1.0000;1.0000
13;1.0258;1.0000;1.0000
14;1.0273;1.0000;1.0000
15;1.0280;1.0000;1.0000
16;1.0282;1.0000;1.0000
17;1.0311;1.0000;1.0000
18;1.0327;1.0000;1.0000
19;1.0328;1.0000;1.0000
20;1.0333;1.0000;1.0000
21;1.0335;1.0000;1.0000
22;1.0358;1.0000;1.0000
23;1.0358;1.0001;1.0000
24;1.0373;1.0004;1.0000
25;1.0374;1.0007;1.0000
26;1.0376;1.0017;1.0000
27;1.0379;1.0017;1.0000
28;1.0389;1.0024;1.0000
29;1.0393;1.0032;1.0000
30;1.0427;1.0037;1.0000
31;1.0430;1.0041;1.0000
32;1.0430;1.0064;1.0000
33;1.0433;1.0067;1.0000
34;1.0435;1.0085;1.0000
35;1.0445;1.0090;1.0000
36;1.0451;1.0112;1.0000
37;1.0473;1.0114;1.0000
38;1.0485;1.0126;1.0000
39;1.0491;1.0131;1.0000
40;1.0495;1.0155;1.0000
41;1.0500;1.0173;1.0000
42;1.0507;1.0193;1.0000
43;1.0520;1.0200;1.0000
44;1.0526;1.0204;1.0000
45;1.0526;1.0222;1.0000
46;1.0527;1.0236;1.0000
47;1.0529;1.0237;1.0000
48;1.0535;1.0239;1.0000
49;1.0538;1.0252;1.0000
50;1.0539;1.0278;1.0000
51;1.0550;1.0284;1.0000
52;1.0552;1.0309;1.0000
53;1.0571;1.0316;1.0000
54;1.0573;1.0344;1.0000
55;1.0576;1.0354;1.0000
56;1.0583;1.0384;1.0000
57;1.0588;1.0392;1.0000
58;1.0597;1.0396;1.0000
59;1.0597;1.0398;1.0000
60;1.0634;1.0428;1.0000
61;1.0635;1.0436;1.0000
62;1.0645;1.0447;1.0000
63;1.0649;1.0462;1.0000
64;1.0726;1.0517;1.0000
65;1.0732;1.0531;1.0000
66;1.0801;1.0598;1.0000
67;1.0806;1.0611;1.0000
