idx;n;cmp0_0.1;cmp0_0.05;cmp0_0.01;cmp1_best;cmp1_0.1;cmp1_0.05;cmp1_0.01;bestParam;avg_n;avg0_0.1;avg0_0.05;avg0_0.01;avg1_best;avg1_0.1;avg1_0.05;avg1_0.01
0;48;1;1;1;1;1;1;1;0.12;50.3;1;1.0147;1.0462;1.0157;1;1.0129;1.0404
1;51;1;1;1;1;1;1;1;0.12;59.4;1;1.0116;1.0358;1.0124;1;1.0111;1.038
2;52;1;1;1;1;1;1;1;0.12;65;1;1.0123;1.0392;1.0121;1;1.0092;1.0351
3;70;1;1;1;1;1;1;1;0.1;74.6;1;1.0095;1.0359;1.0084;1.001;1.0081;1.0342
4;76;1;1;1;1;1;1;1;0.065;84.2;1;1.0072;1.0331;1.0054;1.0011;1.0062;1.0306
5;76;1;1;1;1;1;1;1;0.1;90.2;1;1.0053;1.0316;1.004;1.0011;1.0051;1.0277
6;99;1;1;1;1;1;1;1;0.065;95;1;1.0061;1.0315;1.0044;1.0011;1.0051;1.0259
7;100;1;1;1;1;1;1;1;0.085;99.8;1;1.0031;1.0209;1.0039;1.0011;1.0056;1.025
8;100;1;1;1;1;1;1;1;0.12;100;1;1.004;1.0212;1.006;1.0001;1.0058;1.0241
9;100;1;1;1;1;1;1;1;0.1;100;1;1.0071;1.0241;1.0097;1;1.0066;1.0252
10;100;1;1;1;1;1;1;1;0.085;100.2;1;1.0076;1.0271;1.0115;1;1.0068;1.0256
11;100;1;1;1;1;1;1;1;0.085;101.2;1;1.0072;1.0274;1.0114;1;1.0058;1.0242
12;100;1;1;1;1;1;1;1;0.12;102.6;1;1.0069;1.0262;1.0109;1;1.0047;1.0222
13;101;1;1;1;1;1;1;1.0001;0.1;107.4;1.0011;1.0053;1.0232;1.0121;1.0011;1.004;1.0204
14;105;1;1;1;1;1;1;1.0003;0.085;112.8;1.0018;1.002;1.0169;1.0095;1.0018;1.0033;1.0188
15;107;1;1;1;1;1;1;1.0003;0.085;118.6;1.0018;1.0019;1.0172;1.0096;1.0018;1.0029;1.0175
16;124;1;1;1;1;1;1;1.0004;0.05;124.8;1.0018;1.0037;1.0185;1.0113;1.0018;1.0033;1.0186
17;127;1;1;1;1;1;1;1.0011;0.05;132.2;1.002;1.0034;1.018;1.0108;1.002;1.0037;1.0193
18;130;1;1;1;1;1;1;1.0017;0.085;137.4;1.0015;1.0034;1.0166;1.0075;1.0018;1.0032;1.0191
19;136;1;1;1;1;1.0006;1;1.0021;0.1;142;1.0008;1.0041;1.0227;1.0087;1.001;1.0028;1.02
20;144;1;1;1;1;1.0006;1;1.0025;0.085;146;1.0008;1.0039;1.0209;1.0063;1.002;1.0024;1.0214
21;150;1;1;1;1;1.0018;1;1.0026;0.065;149.2;1.0011;1.0011;1.0173;1.0044;1.0024;1.0017;1.0201
22;150;1.0006;1;1;1;1.0036;1;1.0032;0.085;152.2;1.001;1.0014;1.0227;1.0037;1.0022;1.001;1.0197
23;150;1.0018;1;1;1;1.0045;1;1.0035;0.085;161.2;1.0013;1.0014;1.0235;1.0043;1.0023;1.0009;1.0205
24;152;1.0024;1;1;1;1.0045;1.0004;1.0037;0.065;170.8;1.0023;1.0007;1.016;1.0033;1.0033;1.0008;1.0193
25;159;1.0031;1;1;1;1.0048;1.0005;1.0039;0.065;180.8;1.0036;1.0003;1.0188;1.0052;1.0036;1.0006;1.018
26;195;1.0036;1;1;1;1.005;1.001;1.004;0.065;190.4;1.0033;1.0008;1.0214;1.0064;1.0033;1.0006;1.019
27;198;1.0045;1;1;1;1.0055;1.0012;1.0042;0.05;203.6;1.0063;1.0006;1.0169;1.0068;1.0063;1.0006;1.0187
28;200;1.0055;1;1;1.0001;1.0055;1.0013;1.0044;0.05;209.6;1.0066;1.0006;1.0168;1.0063;1.0066;1.0004;1.0171
29;200;1.0055;1;1;1.0001;1.0061;1.0013;1.0045;0.065;215.2;1.006;1.0006;1.0212;1.005;1.0068;1.0003;1.0166
30;225;1.0061;1;1.0021;1.0001;1.0061;1.0014;1.0045;0.05;227.6;1.0069;1.0006;1.0171;1.0044;1.0077;1.0002;1.0164
