idx;startcost;finalcost;optimalcost;p1cost;p2cost;p3cost;p1iter;p2iter;p3iter
0;1;1;1;1;1;1;1.0023;1;1
1;1.005;1;1;1;1;1;1.0053;1;1
2;1.0137;1;1;1;1;1.0003;1.009;1;1
3;1.0146;1;1;1;1;1.0013;1.0093;1;1
4;1.0164;1;1;1;1;1.0015;1.0097;1;1
5;1.0192;1;1;1;1.0001;1.0016;1.0105;1;1
6;1.0193;1;1;1;1.0001;1.0020;1.011;1;1
7;1.0193;1;1;1;1.0003;1.0022;1.0112;1;1
8;1.0196;1;1;1;1.0005;1.0028;1.0113;1;1
9;1.0212;1;1;1;1.0005;1.0029;1.0119;1.0001;1
10;1.0224;1;1;1;1.0007;1.0030;1.0121;1.0004;1
11;1.0232;1;1;1;1.0008;1.0031;1.0121;1.0006;1
12;1.0237;1;1;1;1.0009;1.0032;1.0134;1.0008;1
13;1.0238;1;1;1;1.0010;1.0035;1.0141;1.0015;1
14;1.0254;1;1;1;1.0014;1.0035;1.0149;1.002;1
15;1.026;1;1;1;1.0016;1.0035;1.015;1.0021;1
16;1.0273;1;1;1;1.0017;1.0038;1.015;1.0021;1
17;1.028;1;1;1;1.0018;1.0044;1.0153;1.0022;1
18;1.0282;1.0001;1;1;1.0020;1.0046;1.0155;1.0026;1
19;1.0291;1.0006;1;1;1.0023;1.0047;1.0156;1.0027;1
20;1.0316;1.0008;1;1;1.0023;1.0047;1.0157;1.0029;1
21;1.0323;1.0009;1;1;1.0025;1.0058;1.0168;1.0029;1
22;1.0323;1.0015;1;1;1.0029;1.0061;1.0172;1.0034;1
23;1.0327;1.0018;1;1;1.0030;1.0061;1.0174;1.0035;1
24;1.0328;1.002;1;1;1.0033;1.0062;1.0178;1.0035;1
25;1.0358;1.0021;1;1;1.0039;1.0065;1.0179;1.0042;1
26;1.0358;1.0023;1;1;1.0039;1.0067;1.0186;1.0045;1
27;1.0359;1.0024;1;1;1.0039;1.0068;1.0186;1.0045;1
28;1.0371;1.0034;1;1;1.0040;1.0069;1.0186;1.0046;1
29;1.0376;1.0036;1;1;1.0043;1.0069;1.0189;1.0047;1
30;1.0379;1.0036;1;1;1.0045;1.0076;1.0193;1.0048;1
31;1.0386;1.0072;1;1;1.0046;1.0080;1.0198;1.0048;1
32;1.0392;1.0074;1;1;1.0051;1.0083;1.0216;1.0051;1
33;1.0427;1.0077;1;1;1.0052;1.0086;1.022;1.0051;1
34;1.043;1.0078;1;1;1.0052;1.0093;1.0223;1.0055;1
35;1.0433;1.0085;1;1;1.0055;1.0095;1.0225;1.0056;1
36;1.0434;1.0091;1;1;1.0056;1.0095;1.0227;1.0062;1
37;1.0435;1.0096;1;1;1.0057;1.0099;1.0228;1.0063;1
38;1.0435;1.0109;1;1;1.0058;1.0102;1.0236;1.0067;1
39;1.0445;1.011;1;1;1.0063;1.0105;1.0238;1.0068;1
40;1.0484;1.0124;1;1;1.0065;1.0105;1.024;1.0069;1
41;1.0485;1.0142;1;1;1.0065;1.0107;1.024;1.0069;1
42;1.0486;1.0161;1;1;1.0065;1.0110;1.0241;1.0073;1
43;1.0489;1.0162;1;1;1.0065;1.0112;1.0243;1.0074;1
44;1.0491;1.0171;1;1;1.0071;1.0117;1.0243;1.0075;1
45;1.0495;1.0178;1;1;1.0071;1.0123;1.025;1.0076;1
46;1.0499;1.0181;1;1;1.0073;1.0129;1.025;1.0082;1
47;1.0504;1.0193;1;1;1.0075;1.0131;1.0252;1.0087;1
48;1.0507;1.0195;1;1;1.0075;1.0135;1.0261;1.0089;1
49;1.052;1.0196;1;1;1.0075;1.0136;1.0263;1.009;1
50;1.0525;1.021;1;1;1.0076;1.0139;1.0267;1.0091;1
51;1.0526;1.0212;1;1;1.0078;1.0141;1.0274;1.0094;1
52;1.0526;1.0212;1;1;1.0081;1.0143;1.0275;1.0096;1
53;1.0529;1.0213;1;1;1.0085;1.0144;1.0275;1.01;1
54;1.0533;1.0217;1;1;1.0085;1.0147;1.0286;1.0102;1
55;1.0535;1.0256;1;1;1.0087;1.0149;1.0293;1.0104;1
56;1.0538;1.0272;1;1;1.0088;1.0151;1.03;1.0104;1
57;1.055;1.0281;1;1;1.0090;1.0155;1.0304;1.0114;1
58;1.0552;1.0284;1;1;1.0090;1.0156;1.0317;1.0118;1
59;1.0554;1.0286;1;1;1.0093;1.0157;1.0323;1.012;1
60;1.0555;1.0291;1;1;1.0096;1.0158;1.0327;1.012;1
61;1.0565;1.0297;1;1;1.0098;1.0159;1.0381;1.0122;1
62;1.0579;1.03;1;1;1.0101;1.0164;1.0399;1.0125;1
63;1.0584;1.0302;1;1;1.0102;1.0166;1.0423;1.0126;1
64;1.0588;1.0314;1;1;1.0103;1.0166;1.0445;1.0133;1
65;1.0621;1.032;1;1;1.0104;1.0170;1.0491;1.0136;1
66;1.0622;1.0342;1;1;1.0106;1.0173;1.0514;1.0137;1.0002
67;1.0634;1.0343;1;1;1.0108;1.0173;1.0534;1.0147;1.0011
68;1.0635;1.0383;1;1;1.0113;1.0175;1.0542;1.015;1.0012
69;1.0645;1.0386;1;1;1.0116;1.0177;1.0561;1.0162;1.0014
70;1.0656;1.0393;1;1;1.0121;1.0177;1.0607;1.0184;1.003
71;1.0726;1.0404;1;1;1.0138;1.0183;1.0633;1.025;1.0052
72;1.0743;1.0431;1;1;1.0154;1.0198;1.0644;1.0255;1.0054
73;1.0801;1.0443;1;1;1.0158;1.0225;1.0772;1.0259;1.0057
74;1.0806;1.0447;1;1.0005;1.0179;1.0251;1.0894;1.0271;1.0064
