idx;startcost;finalcost;optimalcost;p4_4cost;p5_5cost;p5_10cost;p5_20cost;p5_40cost;p20_40cost;p4_4iter;p5_5iter;p5_10iter;p5_20iter;p5_40iter;p20_40iter
0;1.0027;1.0000;1.0000;1;1;1;1;1;1;5.4771;4.2961;2.9084;1.9274;1;1
1;1.0050;1.0000;1.0000;1;1;1;1;1;1;5.7104;4.4899;2.9872;1.9274;1;1
2;1.0127;1.0000;1.0000;1;1;1;1;1;1;5.9771;4.6273;3.08;2.0013;1.0047;1
3;1.0146;1.0000;1.0000;1;1;1;1;1;1;6.6602;5.1145;3.2808;2.0111;1.0107;1
4;1.0163;1.0000;1.0000;1;1;1;1;1;1;6.9541;5.472;3.4835;2.1001;1.012;1
5;1.0175;1.0000;1.0000;1;1;1;1;1;1;7.1709;5.6355;3.5648;2.1011;1.0175;1
6;1.0192;1.0000;1.0000;1;1;1;1;1;1;7.2338;5.6623;3.5768;2.1204;1.2801;1
7;1.0193;1.0000;1.0000;1;1;1;1;1;1;7.2661;5.6852;3.5851;2.1206;1.2867;1
8;1.0193;1.0000;1.0000;1;1;1;1;1;1;7.346;5.7029;3.5964;2.1385;1.2886;1
9;1.0204;1.0000;1.0000;1;1;1;1;1;1;7.3675;5.7244;3.598;2.1478;1.289;1
10;1.0224;1.0000;1.0000;1;1;1;1;1;1;7.439;5.7869;3.6515;2.1499;1.2913;1
11;1.0232;1.0000;1.0000;1;1;1;1;1;1;7.4647;5.8015;3.6595;2.1609;1.2932;1
12;1.0237;1.0000;1.0000;1;1;1;1;1;1;7.4809;5.8203;3.6635;2.1718;1.3009;1
13;1.0242;1.0000;1.0000;1;1;1;1;1;1;7.4927;5.852;3.6908;2.1927;1.3027;1
14;1.0245;1.0000;1.0000;1;1;1;1;1;1;7.8701;6.0529;3.8028;2.2209;1.3046;1
15;1.0254;1.0000;1.0000;1;1;1;1;1;1;8.0424;6.1311;3.8227;2.25;1.3083;1
16;1.0273;1.0000;1.0000;1;1;1;1;1;1;8.1241;6.2263;3.9417;2.2663;1.309;1
17;1.0280;1.0000;1.0000;1;1;1;1;1;1;8.1252;6.2513;3.9511;2.2945;1.3119;1
18;1.0282;1.0000;1.0000;1;1;1;1;1;1.0001;8.2194;6.3541;4.03;2.3025;1.3132;1
19;1.0324;1.0000;1.0000;1;1;1;1;1;1.0003;8.2335;6.3729;4.0392;2.3201;1.3151;1
20;1.0327;1.0000;1.0000;1;1;1;1;1;1.0004;8.2777;6.444;4.0696;2.3269;1.3182;1
21;1.0328;1.0000;1.0000;1;1;1;1;1;1.0006;8.4355;6.5542;4.0904;2.341;1.3186;1
22;1.0332;1.0000;1.0000;1;1;1;1;1.0001;1.0009;8.5122;6.5705;4.1476;2.3791;1.3189;1
23;1.0333;1.0000;1.0000;1;1;1;1;1.0001;1.0018;8.5172;6.6029;4.1652;2.4123;1.3262;1
24;1.0358;1.0000;1.0000;1;1;1;1;1.0007;1.0019;8.574;6.6421;4.1718;2.4332;1.3268;1
25;1.0359;1.0000;1.0000;1;1;1;1;1.0016;1.0022;8.6883;6.6453;4.2148;2.4336;1.3302;1
26;1.0374;1.0000;1.0000;1;1;1;1;1.0018;1.0022;8.7029;6.7887;4.2319;2.4338;1.3311;1
27;1.0376;1.0000;1.0000;1;1;1;1;1.0021;1.003;8.8683;6.9296;4.2642;2.4449;1.3351;1
28;1.0379;1.0000;1.0000;1;1;1;1.0001;1.0022;1.003;8.9908;6.94;4.3173;2.4587;1.3354;1
29;1.0379;1.0001;1.0000;1;1;1;1.0004;1.0024;1.0035;9.0306;6.9806;4.3253;2.4642;1.3378;1
30;1.0387;1.0003;1.0000;1;1;1;1.0004;1.0025;1.004;9.0825;7.0028;4.3693;2.472;1.3398;1
31;1.0390;1.0004;1.0000;1;1;1;1.0005;1.0032;1.0042;9.1422;7.0786;4.3698;2.4945;1.3405;1
32;1.0421;1.0005;1.0000;1;1;1;1.0006;1.0035;1.0048;9.2906;7.1085;4.4295;2.5094;1.3407;1
33;1.0427;1.0009;1.0000;1;1;1;1.0006;1.0037;1.0055;9.3246;7.1712;4.4967;2.5567;1.3412;1
34;1.0430;1.0010;1.0000;1;1;1;1.0006;1.0038;1.0056;9.4667;7.2913;4.5654;2.5575;1.3468;1
35;1.0433;1.0010;1.0000;1;1;1;1.0007;1.004;1.0058;9.5203;7.4068;4.6593;2.562;1.3498;1
36;1.0435;1.0011;1.0000;1;1;1;1.0007;1.0042;1.006;9.6542;7.5009;4.6841;2.5722;1.3536;1
37;1.0438;1.0012;1.0000;1;1;1;1.0009;1.005;1.0064;9.9221;7.724;4.6876;2.589;1.3577;1
38;1.0445;1.0014;1.0000;1;1;1;1.0009;1.005;1.0066;10.0641;7.7278;4.7349;2.6015;1.358;1
39;1.0469;1.0019;1.0000;1;1;1;1.0011;1.0052;1.0069;10.0777;7.7659;4.7954;2.6144;1.3582;1
40;1.0470;1.0024;1.0000;1;1;1;1.0013;1.0053;1.0073;10.1009;7.8046;4.8233;2.6217;1.3587;1
41;1.0477;1.0032;1.0000;1;1;1;1.0014;1.0056;1.0076;10.1103;7.8195;4.8475;2.6739;1.3609;1
42;1.0482;1.0032;1.0000;1;1;1.0001;1.0014;1.006;1.0077;10.2228;7.8811;4.8697;2.6761;1.3639;1
43;1.0485;1.0042;1.0000;1;1;1.0001;1.0015;1.0062;1.0086;10.237;7.9072;4.8701;2.6919;1.3647;1
44;1.0495;1.0043;1.0000;1;1;1.0001;1.0015;1.007;1.0095;10.2416;7.9754;4.9051;2.6977;1.3654;1
45;1.0501;1.0047;1.0000;1;1;1.0001;1.0016;1.0071;1.01;10.2755;7.9919;4.9674;2.6991;1.3666;1
46;1.0504;1.0051;1.0000;1.0001;1;1.0002;1.0016;1.0072;1.0101;10.5155;8.152;5.0066;2.7321;1.3668;1
47;1.0507;1.0061;1.0000;1.0001;1;1.0002;1.0018;1.0072;1.0105;10.5937;8.1771;5.059;2.7532;1.3682;1
48;1.0520;1.0061;1.0000;1.0001;1.0001;1.0003;1.0021;1.0075;1.0105;10.6412;8.1789;5.0697;2.7656;1.3691;1
49;1.0526;1.0063;1.0000;1.0002;1.0001;1.0003;1.0023;1.008;1.011;10.6991;8.2022;5.0833;2.7785;1.3712;1
50;1.0526;1.0070;1.0000;1.0003;1.0002;1.0003;1.0023;1.0084;1.0116;10.7472;8.2228;5.0902;2.7804;1.3746;1
51;1.0529;1.0076;1.0000;1.0006;1.0003;1.0004;1.0027;1.0085;1.0118;10.7616;8.2979;5.1203;2.7917;1.3757;1
52;1.0532;1.0078;1.0000;1.0008;1.0003;1.0004;1.0028;1.009;1.012;10.817;8.3201;5.1204;2.7926;1.3775;1
53;1.0534;1.0082;1.0000;1.0008;1.0004;1.0005;1.0028;1.0094;1.012;10.8472;8.3368;5.1495;2.7942;1.3776;1
54;1.0535;1.0086;1.0000;1.001;1.0004;1.0005;1.003;1.0095;1.0125;10.9389;8.3816;5.1582;2.8053;1.3778;1
55;1.0538;1.0097;1.0000;1.0012;1.0005;1.0005;1.0032;1.0096;1.0129;10.9805;8.4288;5.163;2.8132;1.3779;1
56;1.0538;1.0099;1.0000;1.0013;1.0005;1.0006;1.0033;1.0097;1.0132;10.9862;8.4555;5.1696;2.8167;1.3788;1
57;1.0539;1.0104;1.0000;1.0016;1.0007;1.0007;1.0033;1.01;1.0134;10.9956;8.4755;5.1761;2.818;1.379;1
58;1.0546;1.0111;1.0000;1.0019;1.0008;1.0009;1.0034;1.0102;1.0138;11.0241;8.5131;5.2149;2.8336;1.3793;1
59;1.0550;1.0116;1.0000;1.0021;1.0008;1.0009;1.0035;1.0103;1.014;11.0609;8.5143;5.2254;2.846;1.3795;1
60;1.0552;1.0130;1.0000;1.0024;1.0009;1.001;1.0036;1.0111;1.0145;11.0935;8.5506;5.2277;2.8467;1.3797;1
61;1.0583;1.0131;1.0000;1.0025;1.0013;1.001;1.0037;1.0115;1.0147;11.1377;8.5559;5.2374;2.8488;1.3798;1
62;1.0586;1.0140;1.0000;1.0027;1.0015;1.0012;1.004;1.0116;1.0151;11.1639;8.5837;5.2567;2.8525;1.3806;1
63;1.0588;1.0144;1.0000;1.0028;1.0016;1.0013;1.004;1.012;1.0154;11.235;8.5916;5.2603;2.8551;1.3821;1
64;1.0591;1.0154;1.0000;1.0028;1.0016;1.0017;1.0041;1.012;1.0161;11.2513;8.6147;5.285;2.8722;1.383;1
65;1.0597;1.0176;1.0000;1.003;1.0016;1.0018;1.0045;1.0121;1.0166;11.283;8.6227;5.2896;2.8762;1.3831;1
66;1.0626;1.0187;1.0000;1.0031;1.0017;1.0018;1.0046;1.0123;1.0166;11.2969;8.6336;5.3064;2.8789;1.3837;1
67;1.0634;1.0223;1.0000;1.0033;1.0017;1.0023;1.0046;1.0128;1.0169;11.2995;8.6789;5.3064;2.8837;1.3842;1
68;1.0635;1.0226;1.0000;1.0036;1.0021;1.0023;1.0047;1.0137;1.0171;11.3194;8.7078;5.3145;2.8845;1.3848;1
69;1.0645;1.0229;1.0000;1.0038;1.0022;1.0023;1.0053;1.0138;1.0176;11.3851;8.7133;5.3146;2.8949;1.3858;1
70;1.0656;1.0251;1.0000;1.0043;1.0025;1.0025;1.0057;1.0138;1.0178;11.4799;8.7296;5.3524;2.9035;1.3868;1
71;1.0726;1.0264;1.0000;1.0056;1.0029;1.0026;1.0062;1.014;1.0193;11.4992;8.8275;5.4123;2.9129;1.3887;1
72;1.0726;1.0277;1.0000;1.0057;1.0033;1.0028;1.0065;1.0156;1.0194;11.7008;8.9245;5.4353;2.918;1.3894;1
73;1.0801;1.0349;1.0000;1.006;1.004;1.0033;1.007;1.0172;1.0196;11.7391;8.9579;5.4444;2.9588;1.3912;1
74;1.0806;1.0420;1.0000;1.0086;1.0086;1.0036;1.0073;1.0176;1.0214;11.8226;9.0223;5.4973;2.9734;1.3951;1.0047
