idx;opt;vns;hardfix
0;1;1;1
1;1;1;1
2;1;1;1
3;1;1;1
4;1;1;1
5;1;1;1
6;1;1;1
7;1;1;1
8;1;1;1
9;1;1;1.00004516507836
10;1;1;1.00011274920136
11;1;1;1.00015318627451
12;1;1;1.00031796502385
13;1;1;1.00033812341505
14;1;1;1.00074349442379
15;1;1;1.00085107441924
16;1;1;1.00123382796677
17;1;1;1.00141299686252
18;1;1;1.00156142365098
19;1;1;1.00173864663746
20;1;1;1.0020935290919
21;1;1;1.00215248304898
22;1;1;1.00227081581161
23;1;1;1.00256447301885
24;1;1.00000628361735;1.00269100489274
25;1;1.00000829507231;1.00296035143681
26;1;1.00002238939638;1.00297845373891
27;1;1.00002551345835;1.00317448348665
28;1;1.00012924906294;1.00336501901141
29;1;1.00029769499022;1.00362129293067
30;1;1.00039079002957;1.00385185185185
31;1;1.00052994170641;1.00387430047353
32;1;1.00086461510794;1.00387496594933
33;1;1.0009794929284;1.00414352672417
34;1;1.0010398223871;1.00524399126001
35;1;1.00105130361648;1.00579867226663
36;1;1.00123736596497;1.00589375727026
37;1;1.00187172349251;1.00610328638498
38;1;1.00240969841506;1.00647642993817
39;1;1.00315683742287;1.00705183957009
40;1;1.00319115465864;1.00717123890647
41;1;1.00415372867158;1.00723460800236
42;1;1.00431908906485;1.00795417348609
43;1;1.00474097042587;1.00843380378264
44;1;1.00510816716206;1.0088183738595
45;1;1.00610199155862;1.01092165521753
46;1;1.00611719931896;1.0127186009539
47;1;1.00629092715531;1.01345456352164
48;1;1.00699813548788;1.0137532808399
49;1;1.00762337390244;1.01384221281504
50;1;1.00781506426668;1.01421240950822
51;1;1.0082472489104;1.01426731908318
52;1;1.0085834423727;1.01751960205716
53;1;1.00970627161612;1.01895090118086
54;1;1.00987477465877;1.02012816050407
55;1;1.01113074572873;1.02209126185387
56;1;1.01162013839179;1.02250044228777
57;1;1.01303844432031;1.02281521070965
58;1;1.01313788220486;1.02419998691185
59;1;1.01395245829027;1.02694744156421
60;1;1.01435400541733;1.02758911622021
61;1;1.01537415922567;1.0276366357251
62;1;1.01763601180749;1.02793056727558
63;1;1.01873722461958;1.02949609802606
64;1;1.0223181761264;1.03069428664809
65;1;1.0228998199089;1.031212741036
66;1;1.02512911028306;1.04021703602013
