3 graspChance=0.1 graspChance=0.05 graspChance=0.01
dsj1000 21560298.333333332 21681093.333333332 21842903.333333332
pr1002 297257.6666666667 296756.3333333333 295977.0
u1060 259325.0 260328.66666666666 261163.0
vm1084 269540.0 269699.0 269748.3333333333
pcb1173 67225.33333333333 66998.66666666667 67192.66666666667
d1291 58628.333333333336 58419.666666666664 58093.333333333336
rl1304 291026.0 293573.3333333333 296967.3333333333
rl1323 318772.0 319242.3333333333 322928.3333333333
nrw1379 64519.666666666664 64442.0 64541.666666666664
fl1400 21749.333333333332 21704.666666666668 21680.333333333332
u1432 170007.33333333334 170214.33333333334 169233.33333333334
