3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 10651.6666666667 10658.3333333333 10706.3333333333 1
eil51 429.666666666667 430.333333333333 432 1
berlin52 7606.33333333333 7618 7798.33333333333 1
st70 680.333333333333 682.333333333333 686.333333333333 1
eil76 552.333333333333 554.333333333333 555 1
pr76 109922 110356 111940.666666667 1
rat99 1247 1252.33333333333 1261.33333333333 2
kroC100 21463.6666666667 21685.3333333333 22033 2
kroA100 21933.6666666667 22012.3333333333 22403.3333333333 2
kroE100 22536.6666666667 22595.6666666667 22682 2
kroB100 22680 22950.6666666667 23376 2
kroD100 22042.6666666667 22069.6666666667 22294.6666666667 2
rd100 8158 8200.66666666667 8317.33333333333 2
eil101 658.333333333333 659.333333333333 664 2
lin105 14989.6666666667 15092.6666666667 15221.3333333333 2
pr107 45082.3333333333 45111.6666666667 45440.6666666667 2
pr124 59517 59630.6666666667 59678 2
bier127 127336 127448 128104 2
ch130 6433 6473 6555 2
pr136 101136.666666667 101597.666666667 102186.333333333 2
pr144 59763.6666666667 60137 60996.6666666667 2
kroB150 27565.6666666667 27633.3333333333 27861.6666666667 2
kroA150 27646.6666666667 27754 28251.6666666667 2
ch150 7097.33333333333 7107.33333333333 7192.33333333333 2
pr152 76486.3333333333 77588.3333333333 78029.6666666667 2
u159 44694.6666666667 44789.3333333333 45317 2
rat195 2491.66666666667 2471.66666666667 2450.66666666667 2
d198 16564 16629.6666666667 16705 2
kroA200 32064.3333333333 32173 32060 2
kroB200 31889 32373.6666666667 32704.3333333333 2
ts225 132623.666666667 133018.666666667 132647.666666667 3.5
tsp225 4198.66666666667 4230.66666666667 4278.33333333333 3.5
pr226 82013 82524.3333333333 83485 3.5
gil262 2626.66666666667 2628 2635.33333333333 3.5
pr264 52397.3333333333 52492 53586.6666666667 3.5
a280 2830.66666666667 2829 2821.33333333333 3.5
pr299 53820.3333333333 53862 53830.6666666667 3.5
lin318 46796.6666666667 47219.6666666667 47422 3.5
rd400 17090.6666666667 17133 17102 6
fl417 12457.3333333333 12498.6666666667 12534.6666666667 6
pr439 120568.333333333 121868.666666667 121599.333333333 6
pcb442 56698 56786.3333333333 56550.3333333333 6
d493 38955.6666666667 38993 39021.6666666667 6
att532 31181 31258 31322.3333333333 10
u574 42069.3333333333 42150.3333333333 42596.3333333333 10
rat575 7630.33333333333 7657.33333333333 7631.66666666667 10
p654 37147.3333333333 37210.6666666667 37287.3333333333 10
d657 56121 56264.6666666667 56352.3333333333 10
u724 48644.3333333333 48767 48792 10
rat783 10068 10035.6666666667 10033.6666666667 10
dsj1000 21627674.6666667 21533480.3333333 21829841.3333333 18
pr1002 297785.333333333 295478.333333333 295621.666666667 18
u1060 259924.666666667 259482.666666667 261093.333333333 18
vm1084 268801.333333333 269303.333333333 270094.666666667 18
pcb1173 67066 67146.3333333333 67210 18
d1291 58527.6666666667 58403 57844 18
rl1304 292880.666666667 292765 294840.666666667 18
rl1323 317013.333333333 319694.666666667 322980.666666667 18
nrw1379 64451.3333333333 64458.3333333333 64727 18
fl1400 21756.3333333333 21675.6666666667 21659.6666666667 18
u1432 170369.666666667 169576.666666667 169510.666666667 18
fl1577 25960 25719.6666666667 25297.6666666667 32
d1655 71692.6666666667 71146.6666666667 71166.3333333333 32
vm1748 390128 391065.666666667 391080.333333333 32
u1817 67249.3333333333 66504.3333333333 65791.6666666667 32
rl1889 375890 375546.333333333 377029.333333333 32
d2103 87323.3333333333 87574 86767.3333333333 32
u2152 75107.3333333333 74419 73705 32
u2319 250876.333333333 250612 250196.333333333 32
pr2392 452002 451697.333333333 452551 32
pcb3038 160953 161001.333333333 160657.333333333 60
fl3795 32920.3333333333 32580.3333333333 32114 60
fnl4461 211272.666666667 211274.666666667 211076.333333333 60
rl5915 679946.666666667 676679.333333333 679350.333333333 60
rl5934 671538.666666667 670838.666666667 668721.666666667 60
