3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 901842.172279333 909028.552368333 914668.627588 1
eil51 811624.303415 817785.002642333 823878.981731 1
berlin52 772362.070757667 778299.690711 783430.896164333 1
st70 353324.208623333 355064.238628 356368.648440333 1
eil76 283187.359268333 284512.829928667 285378.391916667 1
pr76 282720.213443 283982.685093 284994.205693667 1
rat99 136563.734948 136908.184805667 137185.134576333 2
kroC100 132794.872042333 133046.128146 133403.745134667 2
kroA100 132721.807510667 133024.052613 133336.557340667 2
kroE100 132742.031599333 132977.158043 133445.845286333 2
kroB100 132697.109118333 133068.304296333 133318.375979667 2
kroD100 132695.811829333 133106.706514333 133370.326567333 2
rd100 132800.948917 133072.777341667 133462.165376 2
eil101 129094.211750667 129402.550848 129659.888748667 2
lin105 115137.285944667 115475.302828 115582.120862 2
pr107 109392.977 109629.704010333 109857.801712 2
pr124 72048.016979 72173.751757 72293.5393876667 2
bier127 67382.5165183333 67484.532436 67571.0146213333 2
ch130 63114.3419776667 63210.0491103333 63296.217947 2
pr136 55258.246706 55338.951613 55404.2176936667 2
pr144 46953.8678113333 47006.576509 47061.5362666667 2
kroB150 41736.9601343333 41750.5141846667 41829.2085726667 2
kroA150 41755.5290126667 41755.080774 41802.241043 2
ch150 41714.53265 41763.4758976667 41811.1504743333 2
pr152 40156.1998856667 40190.418716 40245.4854486667 2
u159 35213.265601 35228.093482 35279.9149826667 2
rat195 19471.7607696667 19480.6411903333 19508.709992 2
d198 18620.466911 18622.7001466667 18643.9928546667 2
kroA200 18051.727527 18068.4339416667 18089.9565183333 2
kroB200 18063.6267473333 18081.7981376667 18073.376588 2
ts225 12813.0820366667 12824.8079573333 12831.9457396667 3.5
tsp225 12809.0418686667 12815.5172263333 12825.01265 3.5
pr226 12634.2325 12651.3150976667 12655.4304363333 3.5
gil262 8183.136938 8184.086226 8191.261237 3.5
pr264 7999.93823366667 8001.454373 8004.594648 3.5
a280 6728.32353 6732.49072033333 6733.182156 3.5
pr299 5535.37203166667 5535.75681433333 5540.658992 3.5
lin318 4617.68814066667 4620.76168433333 4623.00358833333 3.5
rd400 2342.591654 2342.10249533333 2342.664007 6
fl417 2068.67437366667 2069.64346233333 2070.52567766667 6
pr439 1773.52405866667 1774.05956733333 1774.801373 6
pcb442 1739.21449666667 1738.25701833333 1739.314657 6
d493 1256.794827 1256.05351633333 1255.21130866667 6
att532 958.958937666667 958.962769 958.762935 10
u574 799.633669 799.905873666667 799.709719666667 10
rat575 795.830614666667 796.246251 796.155489666667 10
p654 541.867655 541.888406666667 541.936057 10
d657 534.588824 534.757665 534.813210333333 10
u724 400.181264333333 400.48699 400.405374 10
rat783 316.604601 316.675324333333 316.743374333333 10
dsj1000 152.805649333333 152.801740333333 152.795739333333 18
pr1002 151.626983666667 151.644402666667 151.641127 18
u1060 128.087451666667 128.085757 128.114179 18
vm1084 119.842007666667 119.844968333333 119.818091 18
pcb1173 94.664457 94.6333763333333 94.676718 18
d1291 71.0280493333333 71.0149493333333 71.0317056666667 18
rl1304 68.9645683333333 68.9476193333333 68.9967063333333 18
rl1323 65.922701 65.992311 65.9866456666667 18
nrw1379 58.2875883333333 58.289013 58.287856 18
fl1400 55.700148 55.6996166666667 55.6794283333333 18
u1432 52.0695933333333 52.0486006666667 52.0658006666667 18
fl1577 39.008626 39.0208266666667 39.019336 32
d1655 33.7756933333333 33.7680333333333 33.7819053333333 32
vm1748 28.6626436666667 28.6622753333333 28.6669166666667 32
u1817 25.5436823333333 25.5380323333333 25.538142 32
rl1889 22.7744346666667 22.7766703333333 22.7740356666667 32
d2103 16.49831 16.5062493333333 16.503236 32
u2152 15.408957 15.2722696666667 15.4078516666667 32
u2319 12.319685 12.3144193333333 12.3167 32
pr2392 11.2043453333333 11.2301633333333 11.2014246666667 32
pcb3038 5.40932333333333 5.41488066666667 5.40901233333333 60
fl3795 2.76885533333333 2.768805 2.76869366666667 60
fnl4461 1.70562666666667 1.705515 1.70543333333333 60
rl5915 0.702005666666667 0.702079 0.701968333333333 60
rl5934 0.695218666666667 0.695255 0.695154 60
