1 =
att48 11778.0
eil51 487.0
berlin52 9041.0
st70 764.0
eil76 587.0
pr76 128322.0
rat99 1492.0
kroC100 25080.0
kroA100 24898.0
kroE100 24934.0
kroB100 24899.0
kroD100 24864.0
rd100 9413.0
eil101 703.0
lin105 16782.0
pr107 46284.0
pr124 61467.0
bier127 135155.0
ch130 7148.0
pr136 109513.0
pr144 72283.0
kroB150 29566.0
kroA150 30573.0
ch150 7774.0
pr152 86129.0
u159 50784.0
rat195 2759.0
d198 17823.0
kroA200 34315.0
kroB200 35435.0
ts225 149944.0
tsp225 4571.0
pr226 94633.0
gil262 2744.0
pr264 55458.0
a280 3011.0
pr299 57379.0
lin318 49267.0
rd400 17758.0
fl417 14172.0
pr439 130054.0
pcb442 59148.0
d493 39758.0
att532 33054.0
u574 44103.0
rat575 7895.0
p654 41031.0
d657 57561.0
u724 49877.0
rat783 10561.0
dsj1000 21991699.0
pr1002 301656.0
u1060 266850.0
vm1084 273516.0
pcb1173 70076.0
d1291 60696.0
rl1304 312420.0
rl1323 326309.0
nrw1379 65494.0
fl1400 23397.0
u1432 174447.0
fl1577 27278.0
d1655 73211.0
vm1748 402551.0
u1817 66624.0
rl1889 387231.0
d2103 86742.0
u2152 76442.0
u2319 252748.0
pr2392 454526.0
pcb3038 164268.0
fl3795 32743.0
fnl4461 212074.0
rl5915 686721.0
rl5934 681489.0
