3 graspChance=0.1 graspChance=0.05 graspChance=0.01
dsj1000 72042285.33333333 40160162.666666664 22531681.666666668
pr1002 886085.0 512768.6666666667 301820.6666666667
u1060 928338.6666666666 468081.3333333333 268061.6666666667
vm1084 1073801.3333333333 563054.6666666666 281455.3333333333
pcb1173 205821.33333333334 109599.33333333333 69641.66666666667
d1291 248177.33333333334 130498.33333333333 62042.666666666664
rl1304 1268536.6666666667 691831.0 322683.0
rl1323 1386907.0 671015.6666666666 341547.6666666667
nrw1379 208323.66666666666 111553.33333333333 66817.66666666667
fl1400 232620.66666666666 105034.0 26916.333333333332
u1432 568272.6666666666 314716.0 178781.66666666666
