3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 10747 10716 10715 1
eil51 435.666666666667 432 434.666666666667 1
berlin52 7789 7789 7802.33333333333 1
st70 694.666666666667 690 690 1
eil76 562.333333333333 557.333333333333 555.666666666667 1
pr76 112140.333333333 111183.666666667 111112.333333333 1
rat99 1328 1285.66666666667 1264.66666666667 2
kroC100 23020 22131.3333333333 21949.6666666667 2
kroA100 22977.6666666667 22639 22266 2
kroE100 23391 22800.6666666667 22688 2
kroB100 24286.3333333333 23623.6666666667 23477.3333333333 2
kroD100 23176.3333333333 22583.3333333333 22362 2
rd100 8596 8339.66666666667 8294.66666666667 2
eil101 674.333333333333 666 663.333333333333 2
lin105 16292.6666666667 15542 15332.6666666667 2
pr107 46904 45810 45641.6666666667 2
pr124 66116.6666666667 60256.6666666667 59856.3333333333 2
bier127 135198 131260.333333333 127987.333333333 2
ch130 6954.33333333333 6655.33333333333 6474.33333333333 2
pr136 108445.333333333 103146.333333333 100989.333333333 2
pr144 71515.6666666667 63579.3333333333 60815.3333333333 2
kroB150 31498.3333333333 28450.3333333333 27735 2
kroA150 30263.6666666667 28756.3333333333 28246 2
ch150 7776 7369.33333333333 7238.33333333333 2
pr152 92547.6666666667 80533.6666666667 79039 2
u159 52075.6666666667 47538.6666666667 45927 2
rat195 2945.66666666667 2551.33333333333 2492 2
d198 18660.3333333333 17261.3333333333 16682.3333333333 2
kroA200 38714.3333333333 33684.6666666667 32414.3333333333 2
kroB200 39445.3333333333 33727.6666666667 32805 2
ts225 178445 148909.333333333 135236 3.5
tsp225 5112.66666666667 4412.33333333333 4289.66666666667 3.5
pr226 144613.666666667 91472 84198.6666666667 3.5
gil262 3440 2804.33333333333 2640.33333333333 3.5
pr264 101361.666666667 59351.6666666667 53116 3.5
a280 4057.33333333333 3082 2817.33333333333 3.5
pr299 83425.6666666667 59283.6666666667 54429.3333333333 3.5
lin318 69553 51730 47710.6666666667 3.5
rd400 25537 18990.3333333333 17300.3333333333 6
fl417 46929.6666666667 20541.6666666667 12867.6666666667 6
pr439 218961 147115.333333333 122108.333333333 6
pcb442 100457 65250 56967 6
d493 63670 45588 39426.6666666667 6
att532 63668.6666666667 37948.3333333333 31344.6666666667 10
u574 83762.6666666667 53121.3333333333 42832 10
rat575 14430 9316.66666666667 7744 10
p654 228479.333333333 101152.666666667 38646.6666666667 10
d657 114934 73192.3333333333 57211.6666666667 10
u724 110947 66771 49405 10
rat783 22975.3333333333 13738 10252.6666666667 10
dsj1000 75168345 41374138 22460063 18
pr1002 899029.666666667 500584.333333333 303728.333333333 18
u1060 855342 491324 269504.333333333 18
vm1084 1091517 553768.666666667 277796.333333333 18
pcb1173 199221.666666667 109949.666666667 69894 18
d1291 254427.333333333 131267 62387.6666666667 18
rl1304 1320772.33333333 698105.333333333 324708.666666667 18
rl1323 1378459.33333333 733560 344663.666666667 18
nrw1379 207231 113640.666666667 66867.3333333333 18
fl1400 227748.333333333 108831.666666667 26297.3333333333 18
u1432 585978.666666667 315794.666666667 179305.333333333 18
fl1577 193334 95967.6666666667 29909.6666666667 32
d1655 332043 169750 79262.6666666667 32
vm1748 2164735.33333333 1088526 426440.666666667 32
u1817 317725.666666667 162979.333333333 72937 32
rl1889 2217511.33333333 1096842.66666667 424517 32
d2103 499200.333333333 262919.666666667 106293.666666667 32
u2152 400730.666666667 201455.333333333 85465.6666666667 32
u2319 945285.666666667 515439 267487 32
pr2392 2354325.33333333 1205129.66666667 509971.333333333 32
pcb3038 871385 454689 180670.666666667 60
fl3795 594024.666666667 285259 64251.3333333333 60
fnl4461 1414291.33333333 729370.333333333 256450 60
rl5915 7301538.66666667 3776825.33333333 967450 60
rl5934 7392878.33333333 3597668.33333333 947791.666666667 60
