3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 1002997.52212167 957827.958500667 923804.095397667 1
eil51 900704.720486333 859549.016687 824573.836731667 1
berlin52 859297.378470333 819284.989097333 790503.674042667 1
st70 393331.453088333 373769.922617667 359801.836255333 1
eil76 314914.528258 299361.725693333 288014.105371667 1
pr76 314275.671893667 298494.547256333 287314.06041 1
rat99 151889.295252333 144163.637664333 138495.025103 2
kroC100 147618.672097667 140084.122534333 134745.795105667 2
kroA100 147640.319899333 140085.846893333 134716.722801 2
kroE100 147638.192482667 140045.151032667 134548.446085333 2
kroB100 147557.376833667 140140.32778 134568.546063667 2
kroD100 147543.809075333 139979.099589667 134561.241396667 2
rd100 147594.438442333 140032.248898333 134744.473115333 2
eil101 143505.969020333 136238.603426 130910.596956 2
lin105 128018.133929667 121526.402743 116797.816962 2
pr107 121569.509948667 115392.648173 110906.163124667 2
pr124 80086.9779783334 75985.4684223334 73001.80336 2
bier127 74927.0548803333 71055.734417 68252.676491 2
ch130 70167.298236 66553.42706 63924.2728153333 2
pr136 61418.164522 58252.5444046667 55956.341209 2
pr144 52151.698418 49434.711647 47526.149623 2
kroB150 46391.6446033333 44015.1161413333 42243.1009546667 2
kroA150 46394.1791313333 43958.0734423333 42223.061396 2
ch150 46397.0451266667 43985.3979043333 42241.007075 2
pr152 44635.2333573333 42310.641153 40640.4607883333 2
u159 39121.499401 37134.5427076667 35608.94848 2
rat195 21655.0735916667 20522.4527346667 19700.8556996667 2
d198 20692.6040236667 19614.6271846667 18830.7375936667 2
kroA200 20065.3779013333 19026.512308 18272.7398856667 2
kroB200 20074.22318 19025.7055156667 18269.3500813333 2
ts225 14236.1608386667 13492.7783093333 12954.9281843333 3.5
tsp225 14243.4875666667 13495.099392 12952.8225383333 3.5
pr226 14035.4131126667 13295.0041703333 12777.3091533333 3.5
gil262 9101.638914 8622.768495 8274.81951366667 3.5
pr264 8885.69490533333 8422.48256433333 8085.86085966667 3.5
a280 7476.92715666667 7084.05028633333 6802.639398 3.5
pr299 6155.96606766667 5831.01608133333 5596.48815833333 3.5
lin318 5133.245946 4863.249834 4669.48165633333 3.5
rd400 2602.04908933333 2465.38265033333 2367.47085233333 6
fl417 2299.77510033333 2178.24495833333 2090.65257333333 6
pr439 1970.540064 1867.175136 1791.49808333333 6
pcb442 1931.86142666667 1831.87528066667 1756.725557 6
d493 1395.05249233333 1321.77730266667 1269.14206266667 6
att532 1065.09282166667 1009.82405333333 968.540841 10
u574 888.812864 842.444162 808.396753 10
rat575 883.884629333333 837.681286333333 804.591066666667 10
p654 601.894099 570.535160666667 547.380711 10
d657 594.165576333333 562.749812333333 540.205936 10
u724 444.434796333333 421.239621 404.523324333333 10
rat783 351.864451333333 333.593277666667 319.88317 10
dsj1000 169.791381666667 160.678328 154.073375333333 18
pr1002 168.654319333333 159.850841 153.399859333333 18
u1060 142.356251666667 134.806441333333 129.325260666667 18
vm1084 133.180535 126.161901 121.048740333333 18
pcb1173 105.120272 99.5696416666667 95.5547853333333 18
d1291 79.0148646666667 74.7794463333333 71.826131 18
rl1304 76.5776126666667 72.5989646666667 69.6581276666667 18
rl1323 73.1740613333333 69.427868 66.5540513333333 18
nrw1379 64.701942 61.2463243333333 58.8283923333333 18
fl1400 61.8339053333333 58.6873016666667 56.3530163333333 18
u1432 57.7132526666667 54.69036 52.448098 18
fl1577 43.4119443333333 41.068619 39.4640286666667 32
d1655 37.5102113333333 35.595736 34.115089 32
vm1748 31.9219233333333 30.208032 29.0080563333333 32
u1817 28.3034746666667 26.9225573333333 25.7078043333333 32
rl1889 25.2924933333333 23.9955006666667 23.000027 32
d2103 18.2878843333333 17.343534 16.6066893333333 32
u2152 17.0437473333333 16.209258 15.492014 32
u2319 13.6555766666667 12.8722796666667 12.438642 32
pr2392 12.465244 11.743524 11.3449253333333 32
pcb3038 6.101588 5.74799866666667 5.47930766666667 60
fl3795 3.11188966666667 2.94955 2.796164 60
fnl4461 1.900337 1.82752466666667 1.72239466666667 60
rl5915 0.779691666666667 0.734947666666667 0.705716 60
rl5934 0.771762 0.731545 0.701924 60
