3 graspChance=0.1 graspChance=0.05 graspChance=0.01
rat99 4051628.0024346667 4313389.142872667 4766235.850768999
kroC100 4254300.881926666 4528234.974944 4894506.540713333
kroA100 4249876.236841001 4546944.348627999 4870120.015426333
kroE100 4244085.970202667 4518247.239242333 4843032.359779333
kroB100 4222591.718773667 4546040.261985 4848794.9597746665
kroD100 4269555.670362333 4533585.961383 4931701.131916333
rd100 4251900.832320999 4528826.651819 4882733.916851333
eil101 4014288.447942 4224717.997259 4398470.309365333
lin105 3688198.4770579995 4006180.321127333 4328052.338718667
pr107 3806293.99985 4261287.279050667 4942161.804860666
pr124 3143000.4648296665 3421877.1280170004 3691663.992814
bier127 3061860.908018 3273595.987835333 3488677.2526666666
ch130 2683889.832894333 2849891.2770933337 3004375.5014266665
pr136 2641529.5281636664 2824622.2296733335 2997447.065279
pr144 2540249.8929066667 2741218.1424686667 2859370.7427426665
kroB150 2274940.5543226665 2356675.063121 2400327.4779553334
kroA150 2238519.5966120004 2314392.711331667 2408089.336133
ch150 2192368.4112443333 2355630.7949633333 2413826.211935667
pr152 2377622.6546163335 2609917.528477667 2942808.3440806665
u159 1888705.069333 1981684.4833739998 2131310.375767667
rat195 1506529.3277816668 1578093.6352819998 1590802.307473
d198 1586233.4567906668 1619780.6992436666 1648686.6969196666
kroA200 1701260.6795003333 1770045.0533750001 1829593.731575
kroB200 1704848.1233163334 1769040.1368056666 1826972.333927
