3 graspChance=0.1 graspChance=0.05 graspChance=0.01
dsj1000 22588358.666666668 21989931.666666668 22134026.0
pr1002 311137.3333333333 300729.0 300063.3333333333
u1060 274181.6666666667 267974.0 268938.0
vm1084 287421.6666666667 278514.0 280009.6666666667
pcb1173 69865.66666666667 68183.33333333333 67848.33333333333
d1291 61118.666666666664 57703.333333333336 56673.333333333336
rl1304 313073.0 296513.3333333333 296654.0
rl1323 328436.6666666667 309188.3333333333 307039.0
nrw1379 67965.66666666667 66488.66666666667 66517.66666666667
fl1400 24152.0 23838.0 23931.666666666668
u1432 187791.66666666666 183395.66666666666 182518.33333333334
