3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 10911.3333333333 11046 11341.6666666667 1
eil51 438 446.666666666667 456 1
berlin52 7606.66666666667 7656.33333333333 7894 1
st70 710 715 721 1
eil76 558 558.666666666667 570 1
pr76 116265.333333333 117525.333333333 123056.666666667 1
rat99 1284.66666666667 1284.33333333333 1315 2
kroC100 21707.3333333333 21826.3333333333 22177.6666666667 2
kroA100 22499.6666666667 22596.3333333333 23574.6666666667 2
kroE100 23355 23617.3333333333 23965.6666666667 2
kroB100 23093.3333333333 23175.3333333333 23376.6666666667 2
kroD100 22730.3333333333 22798.6666666667 23103 2
rd100 8521.66666666667 8569.33333333333 8888.66666666667 2
eil101 677 677 698.333333333333 2
lin105 15192 15293.3333333333 15582 2
pr107 45780.3333333333 45867.6666666667 45987.6666666667 2
pr124 60653.3333333333 60574.3333333333 61493.6666666667 2
bier127 123043 122561.333333333 124268 2
ch130 6440.33333333333 6479.33333333333 6672.66666666667 2
pr136 108521.666666667 109496 111386.666666667 2
pr144 59240.3333333333 59187 59421 2
kroB150 28687.3333333333 28650.3333333333 29030.6666666667 2
kroA150 29061 29188.3333333333 30471 2
ch150 6859.66666666667 6824 6869.33333333333 2
pr152 77529.6666666667 77417.6666666667 78324.6666666667 2
u159 46017 45957.3333333333 46858 2
rat195 2469 2440.66666666667 2498 2
d198 17114.3333333333 17079.3333333333 17159 2
kroA200 32113 31821 33128.3333333333 2
kroB200 33245.3333333333 33321.3333333333 34026.3333333333 2
ts225 132616 130870.666666667 131984 3.5
tsp225 4326 4301.66666666667 4378.33333333333 3.5
pr226 86180 85490.6666666667 88359.6666666667 3.5
gil262 2653.33333333333 2642.33333333333 2660 3.5
pr264 54188.6666666667 53432 53739.6666666667 3.5
a280 2858.33333333333 2845 2915.33333333333 3.5
pr299 54628 54340.6666666667 55197.3333333333 3.5
lin318 47787.6666666667 47397 48120.6666666667 3.5
rd400 17757.3333333333 17478.6666666667 17734.3333333333 6
fl417 13301.6666666667 13284 13569 6
pr439 122065 120525.333333333 121771 6
pcb442 58798 57235.3333333333 57034.3333333333 6
d493 40192 39824 40185.6666666667 6
att532 31793.6666666667 31360 31940.3333333333 10
u574 43517 42416.3333333333 43365.6666666667 10
rat575 7934 7780.66666666667 7797.33333333333 10
p654 40484.3333333333 39937 40988.6666666667 10
d657 58294.3333333333 57254.6666666667 57872 10
u724 49829.3333333333 49091.6666666667 49596 10
rat783 10459 10278.6666666667 10347 10
dsj1000 22540115.6666667 21972033.3333333 22070708.6666667 18
pr1002 307856.333333333 300745.666666667 299649 18
u1060 273913.666666667 268877.333333333 268885.333333333 18
vm1084 287014 278227 279708.666666667 18
pcb1173 69624.6666666667 68229.3333333333 68127.3333333333 18
d1291 61501.3333333333 57448.3333333333 56595.6666666667 18
rl1304 314937.666666667 298623.333333333 296990.666666667 18
rl1323 328564.333333333 309665.333333333 307107.333333333 18
nrw1379 68068 66663 66597.3333333333 18
fl1400 24158.3333333333 23876 23922 18
u1432 187280.666666667 183389 182862.666666667 18
fl1577 27041 25437 25413 32
d1655 75280 71824.6666666667 71122 32
vm1748 412101.333333333 398930 399196.666666667 32
u1817 69129.3333333333 65361 64420 32
rl1889 393260.333333333 373240.666666667 369937.666666667 32
d2103 96399.3333333333 87860.3333333333 86168.6666666667 32
u2152 77922 73001.3333333333 71362.6666666667 32
u2319 278895.666666667 273250.666666667 272850.666666667 32
pr2392 469130.333333333 450425.333333333 446527.333333333 32
pcb3038 172170 166600 165287.666666667 60
fl3795 36615 33642 32942 60
fnl4461 226071.666666667 219837.333333333 218776.666666667 60
rl5915 730999 681070.666666667 661150.666666667 60
rl5934 716942.333333333 670056.666666667 657219.666666667 60
pla7397 29695779.6666667 28436286.6666667 27885612.3333333 100
rl11849 1184144.33333333 1115970 1090351.66666667 100
usa13509 25501592 24637343.6666667 24378447.3333333 100
brd14051 588276.666666667 572008.666666667 565935.666666667 100
d15112 1980762.66666667 1921966.33333333 1900539.66666667 100
d18512 810406 786460.666666667 778563.333333333 100
pla33810 86616607.3333333 82389224.6666667 80853666 200
pla85900 184716780 176396357 173293710 200
