3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 9965314.66257767 11337171.2807287 12711016.0901957 1
eil51 8963378.15110767 9928255.42642467 11868326.0686097 1
berlin52 9232321.469866 10504912.679579 12226581.5849393 1
st70 6029306.09155833 6500527.08848167 7398931.36840833 1
eil76 5146740.50523067 5645650.106507 6150858.85433667 1
pr76 5198385.42060567 5700518.49563433 6075190.02714533 1
rat99 4112644.706367 4403421.82217567 4821394.184629 2
kroC100 4231500.43504967 4569603.49272367 4933578.780855 2
kroA100 4234490.362841 4534612.33888567 4939814.117505 2
kroE100 4220729.976643 4529422.11962067 4898907.03538933 2
kroB100 4241692.275217 4543823.750755 4910288.157707 2
kroD100 4241900.35694533 4610816.07581233 4991739.49005467 2
rd100 4240103.08101467 4544558.134632 4947248.75398767 2
eil101 3976940.66084667 4296980.67256067 4492616.32267533 2
lin105 3717169.18524333 4015008.81889167 4409384.947824 2
pr107 3896730.18807667 4312588.66082833 4939355.846746 2
pr124 3148090.95713533 3444326.90886833 3738361.06990067 2
bier127 3041203.45568933 3228424.807029 3408820.74002833 2
ch130 2708552.91398833 2879948.78066033 3025381.656874 2
pr136 2669556.99604767 2857573.102614 3099894.24186633 2
pr144 2553431.33180967 2735292.55564433 3033010.239574 2
kroB150 2202065.59124733 2461063.085297 2361059.747433 2
kroA150 2243822.60768767 2307777.24708233 2446518.780975 2
ch150 2298341.383232 2324660.13219367 2534543.103359 2
pr152 2269114.80962133 2590683.919879 2938876.638608 2
u159 2012205.60737267 2007615.860397 2191835.476776 2
rat195 1460421.113313 1498424.447988 1567895.40414833 2
d198 1599775.09516167 1606101.33490667 1717147.55478167 2
kroA200 1722476.68332033 1771076.90943867 1862321.27285667 2
kroB200 1686012.87625533 1777866.61383567 1836695.14508767 2
ts225 1241486.40267767 1335649.18596233 1465083.673543 3.5
tsp225 1168413.21920433 1279381.301343 1264470.39147933 3.5
pr226 1397830.756653 1480235.04638 1533548.757441 3.5
gil262 1045719.429975 1111688.47000433 1144965.80035967 3.5
pr264 1177798.34923033 1201808.00226933 1239604.80173433 3.5
a280 1072590.40535467 1109178.76530633 1131887.80131 3.5
pr299 803411.870707667 812914.966951 848622.244813 3.5
lin318 788752.299742667 817159.460145333 813630.073348667 3.5
rd400 628646.603052333 670445.433317667 681027.423976 6
fl417 526586.594608333 564353.519929 575633.216262667 6
pr439 484576.557480333 509379.472977 522311.535803667 6
pcb442 497123.255165 521415.674373333 529602.405814667 6
d493 423281.645923333 425102.479600667 444553.034421 6
att532 392410.164535333 402100.312658667 416486.214824 10
u574 344675.733716333 363940.313121333 370115.055022667 10
rat575 329641.951357333 351571.665543667 351537.229365 10
p654 280752.153547 296174.360244 302586.767959 10
d657 278065.271327 290638.382860333 290877.592732333 10
u724 250310.749490667 254746.403701333 253128.125906333 10
rat783 217621.603783667 223658.393684333 224899.087641333 10
dsj1000 149879.529651333 153131.03265 154916.992991667 18
pr1002 141912.605866 144736.63658 146335.536270333 18
u1060 125342.055635333 128148.636546667 130379.297013333 18
vm1084 118451.747720333 119810.651949333 123558.070043667 18
pcb1173 103961.305929333 106649.312336667 107697.960786667 18
d1291 93258.069013 94728.185979 95896.4090256667 18
rl1304 87520.7980013333 88055.1958956667 89445.2777503334 18
rl1323 88129.6500663333 89390.1563056667 90558.9806443333 18
nrw1379 78228.5301893333 80583.413904 80573.2094173334 18
fl1400 78542.6533526667 79157.5952556667 79652.1538366667 18
u1432 75353.117496 77445.303624 77674.5738606667 18
fl1577 62621.493057 63634.6619116667 65241.4665823333 32
d1655 57550.3336836667 57499.0350736667 58307.8789973333 32
vm1748 51764.5105276667 52779.645833 52891.808175 32
u1817 48962.886087 49563.4859163333 49686.1233296667 32
rl1889 45216.7501936667 46166.1009933333 46167.0129673333 32
d2103 37197.1136473333 37656.124791 38402.910652 32
u2152 36256.299107 36505.8695413333 36562.209867 32
u2319 31647.2838456667 32145.5434943333 32176.6501823333 32
pr2392 29124.8689576667 29384.6145543333 29610.2415646667 32
pcb3038 18951.490918 19016.7990703333 19192.6079806667 60
fl3795 12341.8865376667 12414.121257 12484.71468 60
fnl4461 9101.348534 9164.722173 9177.32415 60
rl5915 5331.87295233333 5356.73927433333 5371.15277233333 60
rl5934 5300.76804033333 5324.866027 5340.10305533333 60
pla7397 3477.572057 3490.72928966667 3498.45274533333 100
rl11849 1362.94485733333 1366.33752066667 1368.061251 100
usa13509 1054.95282366667 1057.27640066667 1058.48522933333 100
brd14051 976.849726 978.754610666667 979.840628 100
d15112 844.375478333333 845.904715 846.698201 100
d18512 567.129145333333 568.038497333333 568.494339333333 100
pla33810 170.352363 170.487275666667 170.625587 200
pla85900 26.410861 26.4156803333333 26.4113583333333 200
