3 graspChance=0.1 graspChance=0.05 graspChance=0.01
dsj1000 48803657.333333336 32033403.0 22616935.0
pr1002 631223.0 426844.0 306483.3333333333
u1060 607007.0 391902.6666666667 276648.6666666667
vm1084 733596.3333333334 436380.6666666667 286600.6666666667
pcb1173 144778.66666666666 98299.0 69959.33333333333
d1291 159355.0 95358.0 59295.666666666664
rl1304 826112.3333333334 507784.0 311150.0
rl1323 898662.3333333334 522343.0 319782.3333333333
nrw1379 147876.0 97587.0 68887.33333333333
fl1400 116647.33333333333 59066.333333333336 25252.0
u1432 414703.6666666667 273259.3333333333 190636.0
