3 graspChance=0.1 graspChance=0.05 graspChance=0.01
dsj1000 171646.56666 164291.71993733334 158839.78943133334
pr1002 161770.70057999998 154927.49657866664 149881.59817566664
u1060 144501.244362 137638.32633033334 134087.99322633332
vm1084 134717.33291666667 130528.87823566666 126011.84462133334
pcb1173 120871.93129833334 114187.31380833335 109724.129314
d1291 106206.20917166666 100887.36187933334 98039.643122
rl1304 99674.80644700001 94743.30759933333 91355.50792599999
rl1323 100061.99054633333 95892.345238 92501.038716
nrw1379 88969.17967333335 85665.12631066667 82231.22841899999
fl1400 88891.33160766667 85167.085779 81202.27068666667
u1432 86601.368436 82866.44800033334 78976.28705666667
