3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 11298 11373.6666666667 11454.3333333333 1
eil51 454 452.333333333333 452 1
berlin52 7732.66666666667 7668 7736 1
st70 721.333333333333 712.666666666667 715 1
eil76 575 567 570 1
pr76 122419 119483.666666667 119854.333333333 1
rat99 1338.66666666667 1315 1313.33333333333 2
kroC100 22488.6666666667 22082.6666666667 22102.6666666667 2
kroA100 23945 23412 23452 2
kroE100 24384 23951.6666666667 24118 2
kroB100 23815.3333333333 23324.6666666667 23289.6666666667 2
kroD100 23364.6666666667 23149.3333333333 23116 2
rd100 8993.33333333333 8882.66666666667 8907.33333333333 2
eil101 705.666666666667 695.333333333333 693.666666666667 2
lin105 15880 15508.3333333333 15484 2
pr107 46414.3333333333 46139.6666666667 46092 2
pr124 65400.6666666667 61926.3333333333 61461 2
bier127 127445 124048.666666667 123262 2
ch130 6997.33333333333 6716 6674 2
pr136 114937.333333333 112488 111823 2
pr144 61450 59670.3333333333 59309.3333333333 2
kroB150 30991.6666666667 29646 29256.6666666667 2
kroA150 31731.3333333333 30494.6666666667 30214.3333333333 2
ch150 7324.66666666667 6980.33333333333 6955.66666666667 2
pr152 82643 78823 77397 2
u159 51837.6666666667 48009.6666666667 46647.3333333333 2
rat195 2747 2546.66666666667 2494.66666666667 2
d198 18673 17444 16883 2
kroA200 37907 34109 33091.6666666667 2
kroB200 37103 34922 34167.6666666667 2
ts225 151485 134493.333333333 131746.666666667 3.5
tsp225 5078.66666666667 4491.66666666667 4386.66666666667 3.5
pr226 107735 91812.3333333333 88331.6666666667 3.5
gil262 3164.66666666667 2770.33333333333 2679.66666666667 3.5
pr264 60744 55135.3333333333 53777 3.5
a280 3539 3050 2903.66666666667 3.5
pr299 62941.3333333333 59186 55656.3333333333 3.5
lin318 57312.3333333333 50496.6666666667 48331.3333333333 3.5
rd400 22275 19148 17835 6
fl417 22677 14911.6666666667 13424 6
pr439 168544.666666667 136977.333333333 122153 6
pcb442 78651.3333333333 66357.3333333333 58607 6
d493 54981 45445.3333333333 40352.6666666667 6
att532 46909.3333333333 36409 32110.3333333333 10
u574 67780 52268 43744.3333333333 10
rat575 11936 9197 7855 10
p654 117146.666666667 62066.3333333333 41361.3333333333 10
d657 93717 69501 58810.6666666667 10
u724 86104.3333333333 61464.6666666667 50464.6666666667 10
rat783 17855 13015.6666666667 10486.3333333333 10
dsj1000 48734327.6666667 31160603 22595329.6666667 18
pr1002 633661.666666667 423015 307254.666666667 18
u1060 606485.666666667 392704.666666667 276104 18
vm1084 743659.666666667 437889.333333333 287015 18
pcb1173 144595.333333333 97051.3333333333 69657.6666666667 18
d1291 161864 95951.6666666667 59566.6666666667 18
rl1304 849996.333333333 513554.666666667 310917.666666667 18
rl1323 886021 539582.666666667 322248 18
nrw1379 148068 98850.6666666667 69019.3333333333 18
fl1400 119427 55808.3333333333 25313.6666666667 18
u1432 410954.666666667 274584 191013 18
fl1577 107607.666666667 58293 26992.6666666667 32
d1655 210457 121132.666666667 75402.6666666667 32
vm1748 1325794.66666667 756395.333333333 424076.333333333 32
u1817 199268.333333333 114095 69495 32
rl1889 1329545 756991.333333333 397029.666666667 32
d2103 314905.666666667 180238.666666667 94265.3333333333 32
u2152 243141.666666667 141429.333333333 77966 32
u2319 671283.333333333 440126 289433.666666667 32
pr2392 1457025 877589 485954.333333333 32
pcb3038 548922 327444.666666667 181161 60
fl3795 306091.666666667 145414.333333333 45262 60
fnl4461 852483.333333333 490771.333333333 251211 60
rl5915 4113335.33333333 2217718 873488.333333333 60
rl5934 4034340 2238088 855879 60
pla7397 253616782.666667 131349700.333333 41251746.3333333 100
rl11849 8575243 4645595.33333333 1613486 100
usa13509 205794019 110457074.333333 36889610.3333333 100
brd14051 4195399.33333333 2284583.66666667 822486.666666667 100
d15112 13581988.6666667 7459436.66666667 2735319.66666667 100
d18512 6059520.66666667 3309405 1186477.66666667 100
pla33810 943325645 497258672.333333 153262486 200
pla85900 2933132112 1523902844.33333 427136886 200
