3 graspChance=0.1 graspChance=0.05 graspChance=0.01 sec
att48 11590773.1988733 11770023.01578 12610020.366081 1
eil51 10239536.3371923 10426938.381333 11279994.112237 1
berlin52 10515373.987887 10739826.385609 11957535.828013 1
st70 6938216.19618267 6967267.155934 7274781.73624267 1
eil76 6007924.15450133 6111074.956924 6360903.56352867 1
pr76 5900677.46855333 5867975.94357833 6243299.96134867 1
rat99 4674536.45438467 4615647.02958667 4742633.27202567 2
kroC100 4958925.113862 4892572.539312 4945103.84222133 2
kroA100 4918485.98882233 4886439.102308 4919906.364938 2
kroE100 4919214.19139833 4850638.28020933 4880044.94152533 2
kroB100 4915694.90038467 4864029.82592433 4919328.79325 2
kroD100 4914044.156635 4864532.25421567 4963917.09484733 2
rd100 4940975.06470533 4889885.74342133 4933376.99685767 2
eil101 4628467.81671 4518328.36373833 4496769.80503667 2
lin105 4145101.06967233 4150913.19257633 4333167.68244267 2
pr107 4170400.257583 4273316.58793733 4554348.29518767 2
pr124 3580460.66703033 3530267.83535067 3615250.88216833 2
bier127 3510120.47836667 3450593.135761 3426268.89054767 2
ch130 3099701.96260567 3009264.654602 3195157.253265 2
pr136 2935144.582061 2981008.080138 3026705.42512067 2
pr144 2888277.41977867 2837677.389014 2942467.30778233 2
kroB150 2625649.66240367 2610736.28716833 2519985.609016 2
kroA150 2551401.646803 2620717.55246967 2471083.34361967 2
ch150 2558153.91982133 2587145.985349 2546171.98984367 2
pr152 2773988.874695 2706978.71150067 2723531.45111733 2
u159 2219893.50789333 2203417.78036133 2151950.28296233 2
rat195 1730248.28130667 1642349.55459933 1617443.948221 2
d198 1796950.48642367 1808970.043712 1730699.40472933 2
kroA200 1963080.642687 1946097.975753 1883470.02144333 2
kroB200 1982375.39216533 1887041.33029667 1886351.271184 2
ts225 1491900.811639 1468371.625051 1423385.29139533 3.5
tsp225 1392709.92650833 1385708.32386133 1295279.77419 3.5
pr226 1486630.50467667 1525556.516124 1520947.84646867 3.5
gil262 1264117.33693233 1175395.96920533 1156571.93765467 3.5
pr264 1357826.62890333 1329865.40957133 1287987.51373833 3.5
a280 1225717.30466867 1184524.35851267 1166030.31046167 3.5
pr299 936962.058681333 898817.778071 858606.412089333 3.5
lin318 873812.997645 878728.095713 846987.093356667 3.5
rd400 743693.718503 712461.511063 699314.800951 6
fl417 634053.601620333 614431.990630333 596176.296715 6
pr439 564938.526475 534594.479579 522047.969249667 6
pcb442 566929.347170667 571804.763661 541266.476384667 6
d493 478578.999028667 467084.069449667 453921.790245 6
att532 450904.098673667 421717.164555667 428496.635207 10
u574 400881.750860667 393046.723100667 378981.905032 10
rat575 384400.403885333 373483.998498667 360548.195154333 10
p654 321191.404966333 310469.276301333 304592.942139667 10
d657 319326.87878 309094.267625 299572.143074333 10
u724 274383.555587 267065.256644333 260377.211838333 10
rat783 243416.786076333 233662.410812667 226944.555906333 10
dsj1000 168895.806616 161623.035126667 155898.731984 18
pr1002 159760.078395333 152894.33393 147708.592788667 18
u1060 142323.495043667 134669.867928667 132126.599789667 18
vm1084 133234.794591667 127807.396817667 124553.057217667 18
pcb1173 118220.368635667 112290.369717333 109663.055347667 18
d1291 104537.372057333 99795.995046 96654.3843893334 18
rl1304 98689.594665 93935.8689466667 90448.4899423333 18
rl1323 99051.629502 94563.7273506667 91368.705526 18
nrw1379 88663.907503 84555.0078586667 81965.8501226667 18
fl1400 87339.1196533333 83641.8273063333 80959.801934 18
u1432 84013.6152183333 81121.6046246667 78365.9812493333 18
fl1577 71026.8636983333 67497.6655086667 65354.0973933333 32
d1655 64202.1630663333 62287.5178223333 59514.902577 32
vm1748 57699.6783536667 55378.953657 53138.902375 32
u1817 54745.8576763333 52045.011635 50332.246228 32
rl1889 50865.47675 48390.575188 46758.764106 32
d2103 41831.9991046667 39473.230762 38379.719445 32
u2152 40462.3031276667 38372.548637 36940.028041 32
u2319 35532.3104473333 33807.297486 32649.6782013333 32
pr2392 32617.9146353333 31027.0977013333 29857.194556 32
pcb3038 21171.97239 20008.9662143333 19460.7064846667 60
fl3795 13777.9760443333 13116.822783 12625.953315 60
fnl4461 10125.1225406667 9640.140755 9250.60942633333 60
rl5915 5936.49863966667 5637.03193266667 5419.76384133333 60
rl5934 5901.06491133333 5603.991941 5387.54746133333 60
pla7397 3858.70541466667 3661.61614233333 3517.77751 100
rl11849 1515.25108933333 1437.43560033333 1380.82284266667 100
usa13509 1172.70836866667 1111.95860433333 1068.16381333333 100
brd14051 1085.82058966667 1029.72609533333 988.937993 100
d15112 938.380964 889.911481666667 854.500264333333 100
d18512 630.349391333333 597.472246333333 573.827391666667 100
pla33810 188.989183333333 179.277667666667 171.996232666667 200
pla85900 29.3319256666667 27.7754373333333 26.66516 200
