1 =
rat99 276669.129288
kroC100 300026.080925
kroA100 385907.152416
kroE100 385814.848816
kroB100 256160.454041
kroD100 305930.269876
rd100 343353.939005
eil101 332515.466248
lin105 367212.15743
pr107 362265.559429
pr124 396758.486486
bier127 457625.95189
ch130 444746.75367
pr136 439464.825886
pr144 429878.844128
kroB150 481627.303422
kroA150 479166.488957
ch150 491924.54321
pr152 467732.151603
u159 468324.674157
rat195 591348.093023
d198 640132.95672
kroA200 641630.529013
kroB200 531973.547482
