1 =
att48 12435.0
eil51 502.0
berlin52 8181.0
st70 757.0
eil76 601.0
pr76 130921.0
rat99 1362.0
kroC100 23564.0
kroA100 24698.0
kroE100 24907.0
kroB100 25884.0
kroD100 24852.0
rd100 9423.0
eil101 737.0
lin105 16935.0
pr107 46482.0
pr124 66805.0
bier127 129333.0
ch130 7200.0
pr136 114553.0
pr144 60964.0
kroB150 31319.0
kroA150 31479.0
ch150 7075.0
pr152 79564.0
u159 50075.0
rat195 2551.0
d198 17626.0
kroA200 34543.0
kroB200 35389.0
ts225 133103.0
tsp225 4510.0
pr226 93539.0
gil262 2763.0
pr264 54604.0
a280 3038.0
pr299 57371.0
lin318 49201.0
rd400 18316.0
fl417 14616.0
pr439 127282.0
pcb442 60406.0
d493 41475.0
att532 32757.0
u574 45075.0
rat575 7873.0
p654 44040.0
d657 60467.0
u724 50587.0
rat783 10575.0
dsj1000 22450178.0
pr1002 304824.0
u1060 276257.0
vm1084 286883.0
pcb1173 68530.0
d1291 57566.0
rl1304 308340.0
rl1323 311089.0
nrw1379 67898.0
fl1400 25613.0
u1432 185984.0
fl1577 26025.0
d1655 72377.0
vm1748 404170.0
u1817 65918.0
rl1889 375157.0
d2103 86967.0
u2152 72766.0
u2319 276418.0
pr2392 455971.0
pcb3038 167315.0
fl3795 33740.0
fnl4461 220968.0
rl5915 667512.0
rl5934 659452.0
pla7397 28109461.0
rl11849 1095654.0
usa13509 24497708.0
brd14051 568424.0
d15112 1911187.0
d18512 779999.0
pla33810 80607568.0
pla85900 173003005.0
