1 =
att48 143900.779086
eil51 183074.963296
berlin52 182471.53145666665
st70 235414.31776
eil76 256958.17134833333
pr76 206498.09198366664
rat99 273546.64630333334
kroC100 308019.42910999997
kroA100 339024.35472400003
kroE100 336011.9044873333
kroB100 342511.742243
kroD100 322317.56795800006
rd100 305923.778588
eil101 354001.91533066664
lin105 360686.2231803333
pr107 352071.84649599995
pr124 395226.86846366664
bier127 370065.6451656667
ch130 367196.47435800004
pr136 431594.05385666667
pr144 485145.228507
kroB150 443754.46579366666
kroA150 425867.56809766666
ch150 426206.8128543333
pr152 407920.29663333326
u159 487706.33507266664
rat195 603015.3570249999
d198 595117.6646216667
kroA200 603620.6208473333
kroB200 619807.982495
ts225 558177.9050556667
tsp225 536160.7036720001
pr226 598130.919765
gil262 600358.5559556667
pr264 587376.4535250001
a280 599108.806345
pr299 560941.2989236667
lin318 564614.9498176667
rd400 491649.570275
fl417 487038.0751166667
pr439 447690.1025369999
pcb442 431485.87538266665
d493 386321.09668699995
att532 369501.31738433335
u574 336755.19127833337
rat575 325537.75726366666
p654 274997.051472
d657 285838.967811
u724 235323.42352566667
rat783 215225.88135866667
dsj1000 147974.80892500002
pr1002 139481.179689
u1060 129554.21360866667
vm1084 122789.27877533333
pcb1173 108057.14976766666
d1291 93137.53308066668
rl1304 90650.69387266667
rl1323 87956.06157333334
nrw1379 83241.75940366667
fl1400 81406.46655366667
u1432 78863.26054
fl1577 65657.626811
d1655 59972.411466666665
vm1748 53627.21651566667
u1817 50666.01704266667
rl1889 46951.09903333333
d2103 39274.130557
u2152 37237.16250366667
u2319 33011.458584
pr2392 30064.015707999995
pcb3038 19387.728022666666
fl3795 12698.010644
fnl4461 9224.119269
rl5915 5371.239841
rl5934 5347.205614
pla7397 3483.4530386666665
rl11849 1370.451769
usa13509 1059.2883926666666
brd14051 980.478999
d15112 847.315291
d18512 568.8018989999999
pla33810 170.53213133333335
pla85900 26.414068333333333
